PeakID (cmd=annotatePeaks.pl HIOE_RFX6/HIOE_RFX6_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-351	chr11	116449250	116449704	+	22.7	0.850	Intergenic	MIRc|SINE|MIR	-60662	NR_135069	101929011	Hs.733911	NR_135069	ENSG00000237937	LINC02702	-	long intergenic non-protein coding RNA 2702	ncRNA
chr6-225	chr6	84775580	84776034	+	22.7	0.857	intron (NM_138409, intron 3 of 3)	intron (NM_138409, intron 3 of 3)	31969	NM_001346544	112609	Hs.370055	NM_138409	ENSG00000135324	MRAP2	C6orf117|bA51G5.2	melanocortin 2 receptor accessory protein 2	protein-coding
chr2-374	chr2	9351545	9351999	+	22.7	0.810	intron (NM_001135191, intron 1 of 26)	intron (NM_001135191, intron 1 of 26)	4831	NM_003887	8853	Hs.555902	NM_003887	ENSG00000151693	ASAP2	AMAP2|CENTB3|DDEF2|PAG3|PAP|Pap-alpha|SHAG1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	protein-coding
chr19-295	chr19	39174224	39174678	+	22.7	0.810	intron (NM_001322033, intron 1 of 20)	intron (NM_001322033, intron 1 of 20)	36162	NM_004924	81	Hs.270291	NM_004924	ENSG00000130402	ACTN4	ACTININ-4|FSGS|FSGS1	actinin alpha 4	protein-coding
chr12-239	chr12	93416314	93416768	+	22.7	0.850	intron (NR_040096, intron 3 of 4)	intron (NR_040096, intron 3 of 4)	-93470	NM_003566	8411	Hs.567367	NM_003566	ENSG00000102189	EEA1	MST105|MSTP105|ZFYVE2	early endosome antigen 1	protein-coding
chr5-218	chr5	130355393	130355847	+	22.7	0.773	Intergenic	L1PB1|LINE|L1	145329	NM_005340	3094	Hs.483305	NM_005340	ENSG00000169567	HINT1	HINT|NMAN|PKCI-1|PRKCNH1	histidine triad nucleotide binding protein 1	protein-coding
chr6-257	chr6	20212476	20212930	+	22.7	0.700	promoter-TSS (NM_001080480)	promoter-TSS (NM_001080480)	-3	NM_001080480	154141	Hs.377830	NM_001080480	ENSG00000172197	MBOAT1	LPEAT1|LPLAT|LPLAT 1|LPSAT|OACT1|dJ434O11.1	membrane bound O-acyltransferase domain containing 1	protein-coding
chr8-169	chr8	26241038	26241492	+	22.7	0.875	promoter-TSS (NR_144550)	promoter-TSS (NR_144550)	695	NM_004331	665	Hs.131226	NM_004331	ENSG00000104765	BNIP3L	BNIP3a|NIX	BCL2 interacting protein 3 like	protein-coding
chr4-163	chr4	77724547	77725001	+	22.7	0.864	Intergenic	Intergenic	94523	NM_001029870	345079	Hs.257292	NM_001029870	ENSG00000186212	SOWAHB	ANKRD56	sosondowah ankyrin repeat domain family member B	protein-coding
chr1-529	chr1	203595418	203595872	+	22.7	0.692	promoter-TSS (NM_001684)	promoter-TSS (NM_001684)	-270	NM_001001396	493	Hs.343522	NM_001684	ENSG00000058668	ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	ATPase plasma membrane Ca2+ transporting 4	protein-coding
chr9-223	chr9	138391493	138391947	+	22.7	0.682	promoter-TSS (NM_016034)	promoter-TSS (NM_016034)	-5	NM_144654	138162	Hs.414028	NM_144654	ENSG00000160345	C9orf116	PIERCE1|RbEST47	chromosome 9 open reading frame 116	protein-coding
chr14-189	chr14	77843525	77843979	+	22.7	0.826	promoter-TSS (NM_001010860)	promoter-TSS (NM_001010860)	31	NM_001010860	161394	Hs.421961	NM_001010860	ENSG00000100583	SAMD15	C14orf174|FAM15A	sterile alpha motif domain containing 15	protein-coding
chr3-328	chr3	4468332	4468786	+	22.7	0.909	intron (NM_001164674, intron 2 of 7)	intron (NM_001164674, intron 2 of 7)	40394	NM_182760	285362	Hs.350475	NM_182760	ENSG00000144455	SUMF1	AAPA3037|FGE|UNQ3037	sulfatase modifying factor 1	protein-coding
chr7-272	chr7	16643185	16643639	+	22.7	0.900	intron (NM_020319, intron 8 of 9)	MLT1H|LTR|ERVL-MaLR	41967	NM_020319	57037	Hs.157378	NM_020319	ENSG00000106524	ANKMY2	ZMYND20	ankyrin repeat and MYND domain containing 2	protein-coding
chr8-203	chr8	27418387	27418841	+	22.7	0.850	Intergenic	Intergenic	49654	NR_106902	102465508		NR_106902	ENSG00000284280	MIR6843	hsa-mir-6843	microRNA 6843	ncRNA
chr19-292	chr19	2241086	2241540	+	22.7	0.905	intron (NM_007165, intron 1 of 8)	intron (NM_007165, intron 1 of 8)	4490	NM_007165	8175	Hs.115232	NM_007165	ENSG00000104897	SF3A2	PRP11|PRPF11|SAP62|SF3a66	splicing factor 3a subunit 2	protein-coding
chr11-321	chr11	64011551	64012005	+	22.7	0.714	TTS (NM_138689)	TTS (NM_138689)	-1560	NR_135087	105369340	Hs.697228	NR_135086	ENSG00000256940	PPP1R14B-AS1	-	PPP1R14B antisense RNA 1	ncRNA
chr8-181	chr8	81490754	81491208	+	22.7	0.818	Intergenic	CpG	92520	NM_001105539	65986	Hs.591868	NM_023929	ENSG00000205189	ZBTB10	RINZF	zinc finger and BTB domain containing 10	protein-coding
chr14-157	chr14	90885385	90885839	+	22.7	0.739	Intergenic	Intergenic	21018	NM_001363670	801	Hs.282410	NM_006888	ENSG00000198668	CALM1	CALML2|CAM2|CAM3|CAMB|CAMC|CAMI|CAMIII|CPVT4|DD132|LQT14|PHKD|caM	calmodulin 1	protein-coding
chr10-218	chr10	73724777	73725231	+	22.7	0.773	intron (NM_004273, intron 1 of 2)	intron (NM_004273, intron 1 of 2)	851	NM_004273	9469	Hs.158304	NM_004273	ENSG00000122863	CHST3	C6ST|C6ST1|HSD	carbohydrate sulfotransferase 3	protein-coding
chr2-352	chr2	98363804	98364258	+	22.7	0.826	Intergenic	L1MB7|LINE|L1	13162	NM_207519	7535	Hs.234569	NM_001079	ENSG00000115085	ZAP70	ADMIO2|IMD48|SRK|STCD|STD|TZK|ZAP-70	zeta chain of T cell receptor associated protein kinase 70	protein-coding
chr1-581	chr1	229887329	229887783	+	22.7	0.857	Intergenic	Intergenic	125562	NM_014777	9816	Hs.533628	NM_014777	ENSG00000135763	URB2	KIAA0133|NET10|NPA2	URB2 ribosome biogenesis homolog	protein-coding
chr1-648	chr1	25930139	25930593	+	22.7	0.667	Intergenic	SVA_D|Other|Other	-13593	NM_020379	57134	Hs.197043	NM_020379	ENSG00000117643	MAN1C1	HMIC|MAN1A3|MAN1C|pp6318	mannosidase alpha class 1C member 1	protein-coding
chr3-301	chr3	62926554	62927008	+	22.7	0.818	Intergenic	Intergenic	-65690	NM_183394	8618	Hs.654933	NM_003716	ENSG00000163618	CADPS	CADPS1|CAPS|CAPS1|UNC-31	calcium dependent secretion activator	protein-coding
chr5-221	chr5	171045209	171045663	+	22.7	0.727	Intergenic	Intergenic	-167440	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
chr11-284	chr11	33233077	33233531	+	22.7	0.870	Intergenic	L1MB2|LINE|L1	-44914	NM_001278163	10114	Hs.201918	NM_005734	ENSG00000110422	HIPK3	DYRK6|FIST3|PKY|YAK1	homeodomain interacting protein kinase 3	protein-coding
chr15-131	chr15	68074899	68075353	+	22.7	0.739	intron (NM_002757, intron 20 of 20)	intron (NM_002757, intron 20 of 20)	-42721	NM_001365915	390598	Hs.451224	NM_001031807	ENSG00000188779	SKOR1	CORL1|FUSSEL15|LBXCOR1	SKI family transcriptional corepressor 1	protein-coding
chr19-282	chr19	10870331	10870785	+	22.7	0.762	intron (NM_001005361, intron 2 of 20)	intron (NM_001005361, intron 2 of 20)	-20372	NR_039903	100616425		NR_039903	ENSG00000265879	MIR4748	mir-4748	microRNA 4748	ncRNA
chr5-198	chr5	149965340	149965794	+	22.7	0.864	Intergenic	Intergenic	-15071	NM_001166208	11346	Hs.435228	NM_007286	ENSG00000171992	SYNPO	-	synaptopodin	protein-coding
chr22-138	chr22	51111779	51112233	+	22.7	0.857	Intergenic	CpG	-1064	NM_033517	85358	Hs.149035	NM_033517	ENSG00000251322	SHANK3	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	SH3 and multiple ankyrin repeat domains 3	protein-coding
chr1-585	chr1	23888726	23889180	+	22.7	0.750	Intergenic	Intergenic	-2961	NM_002167	3399	Hs.76884	NM_002167	ENSG00000117318	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3, HLH protein	protein-coding
chr1-587	chr1	176176493	176176947	+	22.7	0.857	promoter-TSS (NM_001001740)	promoter-TSS (NM_001001740)	-298	NM_022457	64326	Hs.523744	NM_022457	ENSG00000143207	COP1	RFWD2|RNF200	COP1 E3 ubiquitin ligase	protein-coding
chr19-307	chr19	6774997	6775451	+	22.7	0.850	intron (NM_001258206, intron 1 of 25)	intron (NM_001258206, intron 1 of 25)	2505	NM_001258206	7409	Hs.116237	NM_005428	ENSG00000141968	VAV1	VAV	vav guanine nucleotide exchange factor 1	protein-coding
chr2-369	chr2	10464194	10464648	+	22.7	0.857	intron (NM_134421, intron 1 of 5)	intron (NM_134421, intron 1 of 5)	-5868	NM_001258357	3241	Hs.580427	NM_002149	ENSG00000115756	HPCAL1	BDR1|HLP2|VILIP-3	hippocalcin like 1	protein-coding
chr2-382	chr2	219736922	219737376	+	22.7	0.762	intron (NM_006522, intron 3 of 3)	intron (NM_006522, intron 3 of 3)	-8425	NM_025216	80326	Hs.121540	NM_025216	ENSG00000135925	WNT10A	OODD|SSPS|STHAG4	Wnt family member 10A	protein-coding
chr11-328	chr11	35638113	35638567	+	22.7	0.864	Intergenic	Intergenic	-1668	NM_014344	24147	Hs.39384	NM_014344	ENSG00000179431	FJX1	-	four-jointed box kinase 1	protein-coding
chr12-237	chr12	27379242	27379696	+	22.7	0.750	Intergenic	Intergenic	-17750	NM_015000	23012	Hs.184523	NM_015000	ENSG00000211455	STK38L	NDR2	serine/threonine kinase 38 like	protein-coding
chr7-261	chr7	98726114	98726568	+	22.7	0.810	intron (NM_181349, intron 1 of 17)	intron (NM_181349, intron 1 of 17)	15390	NM_001199847	57154	Hs.189329	NM_020429	ENSG00000198742	SMURF1	-	SMAD specific E3 ubiquitin protein ligase 1	protein-coding
chr16-239	chr16	75535670	75536124	+	22.7	0.850	Intergenic	Intergenic	-6558	NR_163481	4166	Hs.655622	NM_021615	ENSG00000183196	CHST6	C-GlcNAc6ST|GST4-beta|MCDC1|glcNAc6ST-5|gn6st-5|hCGn6ST	carbohydrate sulfotransferase 6	protein-coding
chr1-574	chr1	110210436	110210890	+	22.7	0.560	promoter-TSS (NM_001142368)	promoter-TSS (NM_001142368)	-16	NM_000848	2946	Hs.279837	NM_000848	ENSG00000213366	GSTM2	GST4|GSTM|GSTM2-2|GTHMUS	glutathione S-transferase mu 2	protein-coding
chr2-372	chr2	161522754	161523208	+	22.7	0.905	Intergenic	Intergenic	-172663	NM_016836	5937	Hs.470412	NM_002897	ENSG00000153250	RBMS1	C2orf12|HCC-4|MSSP|MSSP-1|MSSP-2|MSSP-3|SCR2|YC1	RNA binding motif single stranded interacting protein 1	protein-coding
chr1-519	chr1	116722586	116723040	+	22.7	0.857	Intergenic	Intergenic	68437	NM_152367	126868	Hs.376194	NM_152367	ENSG00000173212	MAB21L3	C1orf161	mab-21 like 3	protein-coding
chr14-168	chr14	103851418	103851872	+	22.7	0.826	promoter-TSS (NM_001128919)	promoter-TSS (NM_001128919)	-56	NM_001128919	4140	Hs.35828	NM_002376	ENSG00000075413	MARK3	CTAK1|KP78|PAR1A|Par-1a|VIPB	microtubule affinity regulating kinase 3	protein-coding
chr19-252	chr19	38493945	38494399	+	22.7	0.750	intron (NM_015073, intron 1 of 21)	intron (NM_015073, intron 1 of 21)	96324	NM_015073	23094	Hs.655502	NM_015073	ENSG00000105738	SIPA1L3	CTRCT45|SPAL3|SPAR3	signal induced proliferation associated 1 like 3	protein-coding
chr12-234	chr12	114121693	114122147	+	22.7	0.850	Intergenic	Intergenic	89568	NR_110025	100506465	Hs.211461	NR_110025	ENSG00000249550	LINC01234	LCAL84|onco-lncRNA-32	long intergenic non-protein coding RNA 1234	ncRNA
chr2-393	chr2	157292528	157292982	+	22.7	0.810	promoter-TSS (NM_000408)	promoter-TSS (NM_000408)	-136	NM_000408	2820	Hs.512382	NM_000408	ENSG00000115159	GPD2	GDH2|GPDM|mGPDH	glycerol-3-phosphate dehydrogenase 2	protein-coding
chr3-319	chr3	12343591	12344045	+	22.7	0.667	intron (NM_001354667, intron 1 of 6)	L1MB5|LINE|L1	-10061	NM_001330615	5468	Hs.162646	NM_005037	ENSG00000132170	PPARG	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma	peroxisome proliferator activated receptor gamma	protein-coding
chr1-559	chr1	244211218	244211672	+	22.7	0.727	promoter-TSS (NM_001278196)	promoter-TSS (NM_001278196)	-796	NM_001278196	10472	Hs.69997	NM_006352	ENSG00000179456	ZBTB18	C2H2-171|MRD22|RP58|TAZ-1|ZNF238	zinc finger and BTB domain containing 18	protein-coding
chr3-291	chr3	11167989	11168443	+	22.7	0.857	Intergenic	Intergenic	-10708	NM_001098213	3269	Hs.1570	NM_000861	ENSG00000196639	HRH1	H1-R|H1R|HH1R|hisH1	histamine receptor H1	protein-coding
chr20-142	chr20	18487976	18488430	+	22.7	0.833	promoter-TSS (NM_032985)	promoter-TSS (NM_032985)	77	NM_032986	10483	Hs.369373	NM_006363	ENSG00000101310	SEC23B	CDA-II|CDAII|CDAN2|CWS7|HEMPAS|hSec23B	SEC23 homolog B, coat complex II component	protein-coding
chr1-550	chr1	27560548	27561002	+	22.7	0.857	promoter-TSS (NM_015023)	promoter-TSS (NM_015023)	-348	NM_001276252	23038	Hs.469154	NM_015023	ENSG00000142784	WDTC1	ADP|DCAF9	WD and tetratricopeptide repeats 1	protein-coding
chr1-569	chr1	207082366	207082820	+	22.7	0.850	intron (NM_005449, intron 7 of 7)	intron (NM_005449, intron 7 of 7)	11805	NM_006850	11009	Hs.58831	NM_006850	ENSG00000162892	IL24	C49A|FISP|IL10B|MDA7|MOB5|ST16	interleukin 24	protein-coding
chr14-185	chr14	22492413	22492867	+	22.7	0.857	Intergenic	L1MEc|LINE|L1	-353408	NM_001317107	26687		NM_001317107	ENSG00000276240	OR4E1	OR4E1P	olfactory receptor family 4 subfamily E member 1 (gene/pseudogene)	protein-coding
chr11-303	chr11	44998203	44998657	+	22.7	0.783	intron (NR_026681, intron 2 of 3)	intron (NR_026681, intron 2 of 3)	2977	NR_026681	221122	Hs.551656	NR_026681	ENSG00000254654	LINC02685	-	long intergenic non-protein coding RNA 2685	ncRNA
chr3-289	chr3	128399629	128400083	+	22.7	0.696	Intergenic	CpG	-30195	NM_002950	6184	Hs.518244	NM_002950	ENSG00000163902	RPN1	OST1|RBPH1	ribophorin I	protein-coding
chr3-297	chr3	53866597	53867051	+	22.7	0.773	intron (NM_018397, intron 2 of 8)	L1MB4|LINE|L1	13622	NM_018397	55349	Hs.126688	NM_018397	ENSG00000016391	CHDH	-	choline dehydrogenase	protein-coding
chr4-180	chr4	152580348	152580802	+	22.7	0.800	intron (NM_001109977, intron 13 of 13)	intron (NM_001109977, intron 13 of 13)	101584	NM_004564	5188	Hs.119316	NM_004564	ENSG00000059691	GATB	HSPC199|PET112|PET112L	glutamyl-tRNA amidotransferase subunit B	protein-coding
chr17-289	chr17	25987454	25987908	+	22.7	0.783	Intergenic	Intergenic	29467	NM_001330163	3965	Hs.81337	NM_002308	ENSG00000168961	LGALS9	HUAT|LGALS9A	galectin 9	protein-coding
chr2-381	chr2	134233802	134234256	+	22.7	0.857	intron (NM_207363, intron 3 of 19)	intron (NM_207363, intron 3 of 19)	92005	NM_207481	344148	Hs.537329	NM_207363	ENSG00000176771	NCKAP5	ERIH1|ERIH2|NAP5	NCK associated protein 5	protein-coding
chr3-305	chr3	48754540	48754994	+	22.7	0.727	promoter-TSS (NM_001005909)	promoter-TSS (NM_001005909)	-56	NM_001005909	51447	Hs.595983	NM_016291	ENSG00000068745	IP6K2	IHPK2|InsP6K2|PIUS	inositol hexakisphosphate kinase 2	protein-coding
chr17-300	chr17	79650931	79651385	+	22.7	0.696	promoter-TSS (NM_001329609)	promoter-TSS (NM_001329609)	117	NM_004712	9146	Hs.661056	NM_004712	ENSG00000185359	HGS	HRS	hepatocyte growth factor-regulated tyrosine kinase substrate	protein-coding
chr4-169	chr4	186318250	186318704	+	22.7	0.857	intron (NM_181726, intron 2 of 4)	intron (NM_181726, intron 2 of 4)	482	NM_181726	353322	Hs.508154	NM_181726	ENSG00000186352	ANKRD37	Lrp2bp	ankyrin repeat domain 37	protein-coding
chr11-343	chr11	112487060	112487514	+	22.7	0.762	Intergenic	Intergenic	-60762	NR_104155	387810	Hs.512255	NR_104155	ENSG00000255484	LINC02764	-	long intergenic non-protein coding RNA 2764	ncRNA
chr16-223	chr16	2273482	2273936	+	22.7	0.792	exon (NM_001288778, exon 1 of 12)	exon (NM_001288778, exon 1 of 12)	117	NM_004424	1877	Hs.513268	NM_004424	ENSG00000167967	E4F1	E4F	E4F transcription factor 1	protein-coding
chr22-127	chr22	18017650	18018104	+	22.7	0.909	intron (NM_001290047, intron 9 of 17)	AluJb|SINE|Alu	-25262	NM_001303484	83733	Hs.282982	NM_031481	ENSG00000182902	SLC25A18	GC2	solute carrier family 25 member 18	protein-coding
chr10-238	chr10	86311394	86311848	+	22.7	0.850	Intergenic	Intergenic	126696	NM_001284242	54462	Hs.461988	NM_018999	ENSG00000107771	CCSER2	FAM190B|Gcap14|KIAA1128|bA486O22.1	coiled-coil serine rich protein 2	protein-coding
chr19-283	chr19	5343724	5344178	+	22.7	0.810	Intergenic	AluSx|SINE|Alu	-3128	NM_130853	5802	Hs.744928	NM_002850	ENSG00000105426	PTPRS	PTPSIGMA|R-PTP-S|R-PTP-sigma	protein tyrosine phosphatase receptor type S	protein-coding
chr17-287	chr17	42385186	42385640	+	22.7	0.667	promoter-TSS (NM_001144825)	promoter-TSS (NM_001144825)	386	NR_110802	101926996	Hs.666688	NR_110802		RUNDC3A-AS1	-	RUNDC3A antisense RNA 1	ncRNA
chr10-225	chr10	23216761	23217215	+	22.7	0.864	promoter-TSS (NM_001282747)	promoter-TSS (NM_001282747)	6	NM_173081	219681	Hs.659807	NM_173081	ENSG00000165309	ARMC3	CT81|KU-CT-1	armadillo repeat containing 3	protein-coding
chr16-213	chr16	11237114	11237568	+	22.7	0.773	intron (NM_015226, intron 21 of 22)	LTR32|LTR|ERVL	112698	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
chr7-271	chr7	99020158	99020612	+	22.7	0.857	intron (NM_001198879, intron 8 of 8)	LTR9|LTR|ERV1	13590	NR_162133	113219453		NR_162133		MIR12119	-	microRNA 12119	ncRNA
chr19-289	chr19	6403111	6403565	+	22.7	0.783	intron (NM_001321601, intron 1 of 2)	MER102b|DNA|hAT-Charlie	6968	NM_001321601	390877	Hs.715420	NM_001321601		LOC390877	-	adenylate kinase isoenzyme 1-like	protein-coding
chr17-309	chr17	40429010	40429464	+	22.7	0.652	promoter-TSS (NM_012448)	promoter-TSS (NM_012448)	-813	NM_012448	6777	Hs.595276	NM_012448	ENSG00000173757	STAT5B	STAT5	signal transducer and activator of transcription 5B	protein-coding
chr1-590	chr1	47644631	47645085	+	22.7	0.714	promoter-TSS (NR_047498)	promoter-TSS (NR_047498)	-64	NR_047498	100874253	Hs.435758	NR_047498	ENSG00000224805	LINC00853	PDZK1IP1-AS1|ncRNA-a4	long intergenic non-protein coding RNA 853	ncRNA
chr11-337	chr11	11417804	11418258	+	22.7	0.800	intron (NM_001363464, intron 3 of 9)	L3|LINE|CR1	-43234	NM_001256686	283106	Hs.654675	NM_001256686	ENSG00000254598	CSNK2A3	CSNK2A1P	casein kinase 2 alpha 3	protein-coding
chr17-291	chr17	63144043	63144497	+	22.7	0.792	intron (NM_001081955, intron 1 of 18)	L1MB1|LINE|L1	10782	NM_003835	8787	Hs.664380	NM_003835	ENSG00000108370	RGS9	PERRS|RGS9L	regulator of G protein signaling 9	protein-coding
chr20-131	chr20	50153061	50153515	+	22.7	0.833	intron (NM_001258292, intron 1 of 9)	intron (NM_001258292, intron 1 of 9)	5970	NM_173091	4773	Hs.744148	NM_012340	ENSG00000101096	NFATC2	NFAT1|NFATP	nuclear factor of activated T cells 2	protein-coding
chr2-394	chr2	168747565	168748019	+	22.7	0.900	intron (NR_131227, intron 2 of 4)	L1PB1|LINE|L1	49862	NR_131227	105616981	Hs.512811	NR_131227		LOC105616981	-	uncharacterized LOC105616981	ncRNA
chr6-262	chr6	167598533	167598987	+	22.7	0.900	Intergenic	MIRb|SINE|MIR	14653	NM_001145121	401285		NM_001013683	ENSG00000166984	TCP10L2	-	t-complex 10 like 2	protein-coding
chr16-210	chr16	10425944	10426398	+	22.7	0.739	Intergenic	MER34D|LTR|ERV1	-53747	NR_147927	80063	Hs.513343	NM_024997	ENSG00000166669	ATF7IP2	MCAF2	activating transcription factor 7 interacting protein 2	protein-coding
chr11-311	chr11	71421361	71421815	+	22.7	0.714	Intergenic	HERVS71-int|LTR|ERV1	-76969	NM_001099653	55199	Hs.567527	NM_018172	ENSG00000158483	FAM86C1	FAM86C	family with sequence similarity 86 member C1	protein-coding
chr18-57	chr18	29757433	29757887	+	22.7	0.909	Intergenic	Intergenic	-12342	NM_005925	4225	Hs.194777	NM_005925	ENSG00000141434	MEP1B	-	meprin A subunit beta	protein-coding
chr10-230	chr10	104614016	104614470	+	22.7	0.850	intron (NM_144591, intron 1 of 5)	CpG	227	NM_001136200	119032	Hs.34492	NM_144591	ENSG00000166275	BORCS7	C10orf32	BLOC-1 related complex subunit 7	protein-coding
chr10-236	chr10	35283409	35283863	+	22.7	0.905	Intergenic	Intergenic	79575	NM_001324376	8453	Hs.82919	NM_003591	ENSG00000108094	CUL2	-	cullin 2	protein-coding
chr19-288	chr19	1411764	1412218	+	22.7	0.682	intron (NM_018959, intron 1 of 11)	intron (NM_018959, intron 1 of 11)	4406	NM_001352035	26528	Hs.222510	NM_018959	ENSG00000071626	DAZAP1	-	DAZ associated protein 1	protein-coding
chr1-528	chr1	36789503	36789957	+	22.7	0.565	promoter-TSS (NM_018166)	promoter-TSS (NM_018166)	25	NM_018166	55194	Hs.87016	NM_018166	ENSG00000142694	EVA1B	C1orf78|FAM176B	eva-1 homolog B	protein-coding
chr6-224	chr6	100051590	100052044	+	22.7	0.864	Intergenic	CpG	-2833	NM_021620	59336	Hs.287386	NM_021620	ENSG00000112238	PRDM13	MU-MB-20.220|PFM10	PR/SET domain 13	protein-coding
chr15-156	chr15	83406728	83407182	+	22.7	0.850	intron (NR_036446, intron 2 of 2)	intron (NR_036446, intron 2 of 2)	1577	NR_036446	283693	Hs.560399	NR_036446		ACTG1P17	-	actin gamma 1 pseudogene 17	pseudo
chr9-233	chr9	15552739	15553193	+	22.7	0.762	promoter-TSS (NM_001348002)	promoter-TSS (NM_001348002)	-75	NM_001348002	203238	Hs.17267	NM_173550	ENSG00000164989	CCDC171	C9orf93|bA536D16.1|bA778P13.1	coiled-coil domain containing 171	protein-coding
chr2-407	chr2	172778609	172779063	+	22.7	0.900	promoter-TSS (NM_003642)	promoter-TSS (NM_003642)	-99	NR_027862	8520	Hs.632532	NM_003642	ENSG00000128708	HAT1	KAT1	histone acetyltransferase 1	protein-coding
chr1-537	chr1	7289133	7289587	+	22.7	0.773	intron (NM_001349609, intron 4 of 22)	intron (NM_001349609, intron 4 of 22)	160454	NR_146201	102725193	Hs.666120	NR_146199	ENSG00000237728	LOC102725193	-	uncharacterized LOC102725193	ncRNA
chr5-200	chr5	168445763	168446217	+	22.7	0.773	intron (NR_109897, intron 1 of 4)	intron (NR_109897, intron 1 of 4)	5758	NR_109897	728095	Hs.145601	NR_109897		LOC728095	-	uncharacterized LOC728095	ncRNA
chr1-551	chr1	74808774	74809228	+	22.7	0.810	intron (NM_015978, intron 9 of 24)	intron (NM_015978, intron 9 of 24)	107930	NM_015978	51086	Hs.480085	NM_015978	ENSG00000116783	TNNI3K	CARK|CCDD	TNNI3 interacting kinase	protein-coding
chr6-255	chr6	159270880	159271334	+	22.7	0.800	intron (NR_028496, intron 2 of 2)	intron (NR_028496, intron 2 of 2)	7557	NR_028496	202459	Hs.487035	NM_145303	ENSG00000243775	OSTCP1	DC2L|OSTCL	oligosaccharyltransferase complex subunit pseudogene 1	pseudo
chr12-224	chr12	105357911	105358365	+	22.7	0.905	Intergenic	LTR43|LTR|ERV1	-5616	NM_001352169	84102	Hs.577463	NM_032148	ENSG00000136052	SLC41A2	SLC41A1-L1	solute carrier family 41 member 2	protein-coding
chrX-78	chrX	46056152	46056606	+	22.7	0.857	Intergenic	L1ME1|LINE|L1	130730	NR_110388	101927574	Hs.350952	NR_110388	ENSG00000236751	LINC01186	ZNF674-1	long intergenic non-protein coding RNA 1186	ncRNA
chr10-240	chr10	121258697	121259151	+	22.7	0.800	TTS (NM_002925)	TTS (NM_002925)	37121	NM_002925	6001	Hs.501200	NM_002925	ENSG00000148908	RGS10	-	regulator of G protein signaling 10	protein-coding
chr2-367	chr2	98280433	98280887	+	22.7	0.810	promoter-TSS (NM_005735)	promoter-TSS (NM_005735)	-153	NM_005735	10120	Hs.98791	NM_005735	ENSG00000115073	ACTR1B	ARP1B|CTRN2|PC3	actin related protein 1B	protein-coding
chr6-252	chr6	132286214	132286668	+	22.7	0.857	Intergenic	Intergenic	-13929	NM_001901	1490	Hs.410037	NM_001901	ENSG00000118523	CCN2	CTGF|HCS24|IGFBP8|NOV2	cellular communication network factor 2	protein-coding
chr17-334	chr17	46873071	46873525	+	22.7	0.810	intron (NM_001130918, intron 8 of 15)	intron (NM_001130918, intron 8 of 15)	-1612	NM_173623	284076	Hs.91930	NM_173623	ENSG00000170703	TTLL6	TTL.6	tubulin tyrosine ligase like 6	protein-coding
chr1-547	chr1	40407041	40407495	+	22.7	0.810	Intergenic	Intergenic	-13516	NM_001287808	84879	Hs.655177	NM_032793	ENSG00000168389	MFSD2A	MCPH15|MFSD2|NLS1	major facilitator superfamily domain containing 2A	protein-coding
chr19-297	chr19	15223994	15224448	+	22.7	0.826	intron (NM_033025, intron 7 of 7)	intron (NM_033025, intron 7 of 7)	6009	NM_001300910	85360	Hs.528701	NM_033025	ENSG00000105137	SYDE1	7h3|SYD1	synapse defective Rho GTPase homolog 1	protein-coding
chr6-229	chr6	21589329	21589783	+	22.7	0.762	Intergenic	Intergenic	-4426	NM_003107	6659	Hs.643910	NM_003107	ENSG00000124766	SOX4	EVI16	SRY-box transcription factor 4	protein-coding
chrX-75	chrX	154235136	154235590	+	22.7	0.905	intron (NM_000132, intron 1 of 25)	intron (NM_000132, intron 1 of 25)	15635	NM_000132	2157	Hs.632836	NM_000132	ENSG00000185010	F8	AHF|DXS1253E|F8B|F8C|FVIII|HEMA	coagulation factor VIII	protein-coding
chr6-213	chr6	75911470	75911924	+	22.7	0.826	intron (NM_004370, intron 2 of 65)	CpG	4072	NM_080645	1303	Hs.101302	NM_004370	ENSG00000111799	COL12A1	BA209D8.1|BTHLM2|COL12A1L|DJ234P15.1|EDSMYP|UCMD2	collagen type XII alpha 1 chain	protein-coding
chr19-272	chr19	49238269	49238723	+	22.7	0.818	exon (NM_017805, exon 4 of 12)	exon (NM_017805, exon 4 of 12)	5371	NM_017805	54922	Hs.233955	NM_017805	ENSG00000105538	RASIP1	RAIN	Ras interacting protein 1	protein-coding
