PeakID (cmd=annotatePeaks.pl HIOE_NEUROD1/HIOE_NEUROD1_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr20-64	chr20	17830867	17831195	+	10.1	0.593	Intergenic	MLT1H|LTR|ERVL-MaLR	112558	NR_003045	692086	Hs.680747	NR_003045	ENSG00000212232	SNORD17	HBI-43	small nucleolar RNA, C/D box 17	snoRNA
chr3-58	chr3	111581982	111582310	+	10.1	0.760	intron (NM_001134439, intron 1 of 17)	intron (NM_001134439, intron 1 of 17)	3472	NM_001134439	90102	Hs.603252	NM_145753	ENSG00000144824	PHLDB2	LL5b|LL5beta	pleckstrin homology like domain family B member 2	protein-coding
chr1-217	chr1	26799586	26799914	+	10.1	0.913	intron (NM_005517, intron 1 of 5)	CpG	819	NM_005517	3151	Hs.181163	NM_005517	ENSG00000198830	HMGN2	HMG17	high mobility group nucleosomal binding domain 2	protein-coding
chr16-152	chr16	11696241	11696569	+	10.1	0.692	Intergenic	MER112|DNA|hAT-Charlie	-15083	NR_024320	9516	Hs.459940	NM_004862	ENSG00000189067	LITAF	PIG7|SIMPLE|TP53I7	lipopolysaccharide induced TNF factor	protein-coding
chr1-152	chr1	40311197	40311525	+	10.1	0.778	intron (NR_132413, intron 1 of 3)	intron (NR_132413, intron 1 of 3)	37815	NM_017646	54802	Hs.356554	NM_017646	ENSG00000043514	TRIT1	COXPD35|GRO1|IPPT|IPT|IPTase|MOD5|hGRO1	tRNA isopentenyltransferase 1	protein-coding
chr11-91	chr11	67289957	67290285	+	10.1	0.680	exon (NM_001318496, exon 2 of 7)	exon (NM_001318496, exon 2 of 7)	796	NM_016366	51475	Hs.278984	NM_016366	ENSG00000167791	CABP2	DFNB93	calcium binding protein 2	protein-coding
chr12-48	chr12	125093632	125093960	+	10.1	0.731	Intergenic	Intergenic	-41638	NM_001206654	9612	Hs.137510	NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
chr10-95	chr10	73777728	73778056	+	10.1	0.846	Intergenic	Intergenic	53739	NM_004273	9469	Hs.158304	NM_004273	ENSG00000122863	CHST3	C6ST|C6ST1|HSD	carbohydrate sulfotransferase 3	protein-coding
chr13-26	chr13	53474552	53474880	+	10.1	0.875	Intergenic	Intergenic	-51941	NM_002590	5100	Hs.19492	NM_002590	ENSG00000136099	PCDH8	ARCADLIN|PAPC	protocadherin 8	protein-coding
chr9-114	chr9	72147226	72147554	+	10.1	0.826	intron (NM_001163, intron 1 of 12)	intron (NM_001163, intron 1 of 12)	139897	NM_001163	320	Hs.171939	NM_001163	ENSG00000107282	APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	amyloid beta precursor protein binding family A member 1	protein-coding
chr15-51	chr15	49096171	49096499	+	10.1	0.692	intron (NM_014985, intron 2 of 25)	MER102b|DNA|hAT-Charlie	6931	NM_001194998	22995	Hs.443005	NM_014985	ENSG00000103995	CEP152	MCPH4|MCPH9|SCKL5	centrosomal protein 152	protein-coding
chr7-77	chr7	115101448	115101776	+	10.1	0.875	Intergenic	LTR85a|LTR|Gypsy?	119883	NR_145801	109623459		NR_145801	ENSG00000202377	SNORA25B	-	small nucleolar RNA, H/ACA box 25B	snoRNA
chr21-64	chr21	46256703	46257031	+	10.1	0.808	Intergenic	Intergenic	-18823	NM_001286416	6612	Hs.474005	NM_006936	ENSG00000184900	SUMO3	SMT3A|SMT3H1|SUMO-3|Smt3B	small ubiquitin like modifier 3	protein-coding
chr4-94	chr4	153960265	153960593	+	10.1	0.720	Intergenic	Intergenic	96294	NM_033393	85462	Hs.132629	NM_033393	ENSG00000137460	FHDC1	-	FH2 domain containing 1	protein-coding
chr10-107	chr10	80884807	80885135	+	10.1	0.833	intron (NM_020338, intron 2 of 24)	intron (NM_020338, intron 2 of 24)	56248	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
chr12-62	chr12	113957224	113957552	+	10.1	0.720	Intergenic	Intergenic	47580	NR_126425	104355219	Hs.641707	NR_126425		LHX5-AS1	locus 4010|locus4010	LHX5 antisense RNA 1	ncRNA
chr22-42	chr22	39635583	39635911	+	10.1	0.731	intron (NM_002608, intron 1 of 6)	intron (NM_002608, intron 1 of 6)	1167	NM_033016	5155	Hs.1976	NM_002608	ENSG00000100311	PDGFB	IBGC5|PDGF-2|PDGF2|SIS|SSV|c-sis	platelet derived growth factor subunit B	protein-coding
chr17-159	chr17	70461665	70461993	+	10.1	0.783	intron (NR_137281, intron 1 of 4)	intron (NR_137281, intron 1 of 4)	122877	NR_135222	146795	Hs.651743	NR_135222	ENSG00000264026	LINC02003	-	long intergenic non-protein coding RNA 2003	ncRNA
chr11-103	chr11	122931087	122931415	+	10.1	0.708	intron (NM_006597, intron 3 of 8)	intron (NM_006597, intron 3 of 8)	-1121	NR_001453	85389		NR_001453	ENSG00000202252	SNORD14C	-	small nucleolar RNA, C/D box 14C	snoRNA
chr3-70	chr3	16880136	16880464	+	10.1	0.800	Intergenic	Intergenic	-46148	NM_001144382	23228	Hs.202010	NM_015184	ENSG00000154822	PLCL2	PLCE2	phospholipase C like 2	protein-coding
chr1-212	chr1	55006371	55006699	+	10.1	0.741	Intergenic	Intergenic	-7366	NM_015547	26027	Hs.745173	NM_015547	ENSG00000162390	ACOT11	BFIT|STARD14|THEA|THEM1	acyl-CoA thioesterase 11	protein-coding
chr9-93	chr9	37732335	37732663	+	10.1	0.760	intron (NM_001371225, intron 10 of 15)	intron (NM_001371225, intron 10 of 15)	-21301	NM_001286950	158234	Hs.655614	NM_144964	ENSG00000165275	TRMT10B	RG9MTD3|bA3J10.9	tRNA methyltransferase 10B	protein-coding
chr16-129	chr16	87888838	87889166	+	10.1	0.692	intron (NM_003486, intron 1 of 9)	intron (NM_003486, intron 1 of 9)	1500	NR_162122	113218509		NR_162122		MIR11401	-	microRNA 11401	ncRNA
chr1-190	chr1	182602866	182603194	+	10.1	0.679	Intergenic	Intergenic	18755	NR_036490	284648	Hs.253475	NR_036490	ENSG00000261504	LINC01686	-	long intergenic non-protein coding RNA 1686	ncRNA
chr10-123	chr10	123900814	123901142	+	10.1	0.708	intron (NM_001291879, intron 2 of 16)	intron (NM_001291879, intron 2 of 16)	-22167	NM_206860	10579	Hs.501252	NM_006997	ENSG00000138162	TACC2	AZU-1|ECTACC	transforming acidic coiled-coil containing protein 2	protein-coding
chr8-57	chr8	23193450	23193778	+	10.1	0.692	promoter-TSS (NR_038323)	promoter-TSS (NR_038323)	-107	NR_038323	100507156	Hs.661130	NR_038323	ENSG00000253837	LOC100507156	-	uncharacterized LOC100507156	ncRNA
chr15-42	chr15	70636934	70637262	+	10.1	0.792	Intergenic	Intergenic	161169	NR_146562	105370880		NR_146562	ENSG00000259473	LINC02205	-	long intergenic non-protein coding RNA 2205	ncRNA
chr5-49	chr5	127292850	127293178	+	10.1	0.808	intron (NR_152813, intron 2 of 3)	intron (NR_152813, intron 2 of 3)	125853	NR_152813	644873	Hs.340623	NR_015360	ENSG00000245937	LINC01184	-	long intergenic non-protein coding RNA 1184	ncRNA
chr11-127	chr11	14444018	14444346	+	10.1	0.870	Intergenic	Intergenic	-58130	NM_001177314	22800	Hs.502004	NM_012250	ENSG00000133818	RRAS2	TC21	RAS related 2	protein-coding
chr2-156	chr2	16153146	16153474	+	10.1	0.750	Intergenic	Intergenic	-37239	NR_126559	104797537	Hs.435748	NR_126559	ENSG00000236289	GACAT3	LINC01458|lncRNA-AC130710	gastric cancer associated transcript 3	ncRNA
chr9-107	chr9	37800605	37800933	+	10.1	0.708	promoter-TSS (NM_024345)	promoter-TSS (NM_024345)	-25	NM_024345	79269	Hs.118394	NM_024345	ENSG00000122741	DCAF10	WDR32	DDB1 and CUL4 associated factor 10	protein-coding
chr10-96	chr10	98272883	98273211	+	10.1	0.577	intron (NM_012465, intron 1 of 20)	CpG	636	NM_012465	7093	Hs.154296	NM_012465	ENSG00000095587	TLL2	-	tolloid like 2	protein-coding
chr1-225	chr1	180219322	180219650	+	10.1	0.833	intron (NM_033343, intron 2 of 5)	(TG)n|Simple_repeat|Simple_repeat	20087	NM_033343	89884	Hs.658487	NM_033343	ENSG00000121454	LHX4	CPHD4	LIM homeobox 4	protein-coding
chr16-131	chr16	88523364	88523692	+	10.1	0.704	intron (NM_153813, intron 1 of 9)	intron (NM_153813, intron 1 of 9)	3840	NM_153813	161882	Hs.632218	NM_153813	ENSG00000179588	ZFPM1	FOG|FOG1|ZC2HC11A|ZNF408|ZNF89A	zinc finger protein, FOG family member 1	protein-coding
chr3-79	chr3	63061962	63062290	+	10.1	0.750	Intergenic	Intergenic	-26238	NR_027104	285401	Hs.211125	NR_027104	ENSG00000244342	LINC00698	-	long intergenic non-protein coding RNA 698	ncRNA
chr18-37	chr18	45954792	45955120	+	10.1	0.708	Intergenic	Intergenic	-16000	NM_001371287								
chr12-34	chr12	90515193	90515521	+	10.1	0.767	Intergenic	L1MA4A|LINE|L1	-171738	NR_135018	105369893	Hs.577777	NR_135018		LINC02392	-	long intergenic non-protein coding RNA 2392	ncRNA
chr1-259	chr1	25896284	25896612	+	10.1	0.667	Intergenic	Intergenic	26372	NM_015627	26119	Hs.590911	NM_015627	ENSG00000157978	LDLRAP1	ARH|ARH1|ARH2|FHCB1|FHCB2	low density lipoprotein receptor adaptor protein 1	protein-coding
chr16-118	chr16	10933179	10933507	+	10.1	0.783	Intergenic	Intergenic	-20692	NM_001079512	780776	Hs.371576	NM_001079512	ENSG00000166676	TVP23A	FAM18A|YDR084C	trans-golgi network vesicle protein 23 homolog A	protein-coding
chr8-89	chr8	124745760	124746088	+	10.1	0.696	intron (NM_004306, intron 1 of 10)	intron (NM_004306, intron 1 of 10)	3709	NM_004306	312	Hs.181107	NM_004306	ENSG00000104537	ANXA13	ANX13|ISA	annexin A13	protein-coding
chr13-22	chr13	24844687	24845015	+	10.1	0.720	promoter-TSS (NM_001286793)	promoter-TSS (NM_001286793)	26	NM_001286794	221178	Hs.434298	NM_153023	ENSG00000182957	SPATA13	ARHGEF29|ASEF2	spermatogenesis associated 13	protein-coding
chr14-54	chr14	37445089	37445417	+	10.1	0.864	intron (NM_030631, intron 1 of 9)	intron (NM_030631, intron 1 of 9)	-23657	NR_039725	100616280		NR_039725	ENSG00000266327	MIR4503	-	microRNA 4503	ncRNA
chr2-139	chr2	131517439	131517767	+	10.1	0.714	intron (NM_001105195, intron 1 of 1)	intron (NM_001105195, intron 1 of 1)	3686	NM_001105195	205147	Hs.369289	NM_152698	ENSG00000178171	AMER3	FAM123C	APC membrane recruitment protein 3	protein-coding
chr7-87	chr7	86688870	86689198	+	10.1	0.750	promoter-TSS (NM_001142749)	promoter-TSS (NM_001142749)	-64	NM_001142749	222223	Hs.208093	NM_152748	ENSG00000164659	KIAA1324L	EIG121L	KIAA1324 like	protein-coding
chr7-92	chr7	1520791	1521119	+	10.1	0.640	intron (NM_001080453, intron 28 of 47)	intron (NM_001080453, intron 28 of 47)	-21849	NM_182924	79778	Hs.376617	NM_024723	ENSG00000164877	MICALL2	JRAB|MICAL-L2	MICAL like 2	protein-coding
chr15-65	chr15	31254381	31254709	+	10.1	0.864	intron (NM_017762, intron 6 of 15)	intron (NM_017762, intron 6 of 15)	29286	NM_017762	54893	Hs.30141	NM_017762	ENSG00000166912	MTMR10	-	myotubularin related protein 10	protein-coding
chr1-246	chr1	18538322	18538650	+	10.1	0.864	intron (NM_032880, intron 1 of 9)	intron (NM_032880, intron 1 of 9)	104194	NM_032880	84966	Hs.212511	NM_032880	ENSG00000117154	IGSF21	-	immunoglobin superfamily member 21	protein-coding
chr6-81	chr6	20691384	20691712	+	10.1	0.870	intron (NM_017774, intron 5 of 15)	intron (NM_017774, intron 5 of 15)	156860	NM_017774	54901	Hs.657604	NM_017774	ENSG00000145996	CDKAL1	-	CDK5 regulatory subunit associated protein 1 like 1	protein-coding
chr2-159	chr2	110054101	110054429	+	10.1	0.741	intron (NM_001099289, intron 7 of 9)	intron (NM_001099289, intron 7 of 9)	-124184	NR_036224	100423027		NR_036224	ENSG00000265965	MIR4266	-	microRNA 4266	ncRNA
chr3-63	chr3	50233034	50233362	+	10.1	0.692	3' UTR (NM_144499, exon 9 of 9)	3' UTR (NM_144499, exon 9 of 9)	4155	NM_000172	2779	Hs.517978	NM_000172	ENSG00000114349	GNAT1	CSNB1G|CSNBAD3|GBT1|GNATR	G protein subunit alpha transducin 1	protein-coding
chr17-115	chr17	8263130	8263458	+	10.1	0.808	non-coding (NR_024447, exon 1 of 1)	non-coding (NR_024447, exon 1 of 1)	565	NR_024447	100128288	Hs.549913	NR_024447		LOC100128288	-	uncharacterized LOC100128288	ncRNA
chr11-99	chr11	118443317	118443645	+	10.1	0.679	intron (NM_001142281, intron 1 of 8)	CpG	357	NM_001655	372	Hs.33642	NM_001655	ENSG00000095139	ARCN1	COPD|SRMMD	archain 1	protein-coding
chr1-194	chr1	16348180	16348508	+	10.1	0.750	promoter-TSS (NM_004070)	promoter-TSS (NM_004070)	-187	NM_001257139	1187	Hs.591533	NM_004070	ENSG00000186510	CLCNKA	CLCK1|ClC-K1|hClC-Ka	chloride voltage-gated channel Ka	protein-coding
chr6-63	chr6	52535731	52536059	+	10.1	0.800	promoter-TSS (NM_014051)	promoter-TSS (NM_014051)	-16	NM_014051	28978	Hs.94896	NM_014051	ENSG00000096092	TMEM14A	C6orf73|PTD011	transmembrane protein 14A	protein-coding
chr22-61	chr22	38699295	38699623	+	10.1	0.652	intron (NM_001894, intron 2 of 10)	intron (NM_001894, intron 2 of 10)	13979	NM_152221	1454	Hs.474833	NM_001894	ENSG00000213923	CSNK1E	CKIe|CKIepsilon|HCKIE	casein kinase 1 epsilon	protein-coding
chr1-202	chr1	201222268	201222596	+	10.1	0.741	Intergenic	Intergenic	-30148	NM_000299	5317	Hs.497350	NM_000299	ENSG00000081277	PKP1	B6P	plakophilin 1	protein-coding
chr11-107	chr11	46379258	46379586	+	10.1	0.731	intron (NM_001199268, intron 1 of 29)	intron (NM_001199268, intron 1 of 29)	-3734	NM_001105540	8525	Hs.502461	NM_003646	ENSG00000149091	DGKZ	DAGK5|DAGK6|DGK-ZETA|hDGKzeta	diacylglycerol kinase zeta	protein-coding
chr3-82	chr3	10233892	10234220	+	10.1	0.654	intron (NM_001570, intron 2 of 12)	intron (NM_001570, intron 2 of 12)	27453	NM_001570	3656	Hs.449207	NM_001570	ENSG00000134070	IRAK2	IRAK-2	interleukin 1 receptor associated kinase 2	protein-coding
chr12-56	chr12	22198958	22199286	+	10.1	0.720	promoter-TSS (NM_018686)	promoter-TSS (NM_018686)	14	NR_135117	55907	Hs.311346	NM_018686	ENSG00000111726	CMAS	CSS	cytidine monophosphate N-acetylneuraminic acid synthetase	protein-coding
chr22-62	chr22	44685114	44685442	+	10.1	0.577	intron (NM_001099294, intron 3 of 4)	intron (NM_001099294, intron 3 of 4)	23553	NM_001099294	85352	Hs.6829	NM_001099294	ENSG00000138944	SHISAL1	KIAA1644	shisa like 1	protein-coding
chr22-64	chr22	25028784	25029112	+	10.1	0.667	promoter-TSS (NR_024494)	promoter-TSS (NR_024494)	66	NR_024494	644165	Hs.531306	NR_024494		BCRP3	BCR3|BCRL3|BCRL6	BCR pseudogene 3	pseudo
chr11-131	chr11	44984742	44985070	+	10.1	0.652	Intergenic	Intergenic	-10547	NR_026681	221122	Hs.551656	NR_026681	ENSG00000254654	LINC02685	-	long intergenic non-protein coding RNA 2685	ncRNA
chr22-45	chr22	38181181	38181509	+	10.1	0.733	Intergenic	Intergenic	-19769	NM_005318	3005	Hs.745024	NM_005318	ENSG00000189060	H1F0	H10|H1FV	H1 histone family member 0	protein-coding
chr20-62	chr20	55129991	55130319	+	10.1	0.773	Intergenic	Intergenic	21853	NM_001013646	388799	Hs.287759	NM_001013646	ENSG00000213714	FAM209B	C20orf107|dJ1153D9.4	family with sequence similarity 209 member B	protein-coding
chr5-52	chr5	95706649	95706977	+	10.1	0.840	intron (NR_130776, intron 3 of 4)	intron (NR_130776, intron 3 of 4)	61050	NM_001177875	5122	Hs.78977	NM_000439	ENSG00000175426	PCSK1	BMIQ12|NEC1|PC1|PC3|SPC3	proprotein convertase subtilisin/kexin type 1	protein-coding
chr4-87	chr4	37750095	37750423	+	10.1	0.792	Intergenic	Intergenic	-62261	NM_001085399	768211	Hs.283378	NM_001085399	ENSG00000181826	RELL1	-	RELT like 1	protein-coding
chr15-70	chr15	78295929	78296257	+	10.1	0.714	intron (NM_015079, intron 10 of 12)	intron (NM_015079, intron 10 of 12)	-9526	NR_026998	91450	Hs.406766	NR_026998		LOC91450	-	uncharacterized LOC91450	ncRNA
chr3-81	chr3	33878599	33878927	+	10.1	0.826	intron (NM_013374, intron 8 of 17)	intron (NM_013374, intron 8 of 17)	38641	NM_013374	10015	Hs.475896	NM_013374	ENSG00000170248	PDCD6IP	AIP1|ALIX|DRIP4|HP95	programmed cell death 6 interacting protein	protein-coding
chr8-87	chr8	125089885	125090213	+	10.1	0.720	intron (NM_001039112, intron 32 of 40)	intron (NM_001039112, intron 32 of 40)	-37026	NR_040044	439941	Hs.683919	NM_001038706	ENSG00000181171	FER1L6-AS1	C8orf54	FER1L6 antisense RNA 1	ncRNA
chr8-66	chr8	43831418	43831746	+	10.1	0.800	Intergenic	ALR/Alpha|Satellite|centr	683997	NM_001002920	340441	Hs.531579	NM_001002920	ENSG00000188877	POTEA	A26A1|CT104.3|POTE-8|POTE8	POTE ankyrin domain family member A	protein-coding
chr7-88	chr7	73032971	73033299	+	10.1	0.696	intron (NR_134541, intron 1 of 15)	intron (NR_134541, intron 1 of 15)	5717	NM_032954	51085	Hs.647055	NM_032951	ENSG00000009950	MLXIPL	CHREBP|MIO|MLX|MONDOB|WBSCR14|WS-bHLH|bHLHd14	MLX interacting protein like	protein-coding
chr19-76	chr19	53605481	53605809	+	10.1	0.783	intron (NM_001322131, intron 1 of 5)	intron (NM_001322131, intron 1 of 5)	1030	NM_001322125	90338	Hs.655967	NM_033288	ENSG00000170949	ZNF160	F11|HKr18|HZF5|KR18	zinc finger protein 160	protein-coding
chr19-89	chr19	18255170	18255498	+	10.1	0.696	exon (NM_015016, exon 22 of 27)	exon (NM_015016, exon 22 of 27)	-8639	NR_162071	5296	Hs.371344	NM_005027	ENSG00000105647	PIK3R2	MPPH|MPPH1|P85B|p85|p85-BETA	phosphoinositide-3-kinase regulatory subunit 2	protein-coding
chr1-235	chr1	32228277	32228605	+	10.1	0.833	intron (NM_001294335, intron 1 of 32)	CpG	1210	NM_001364857	576	Hs.524138	NM_001294335	ENSG00000121753	ADGRB2	BAI2	adhesion G protein-coupled receptor B2	protein-coding
chr3-57	chr3	49692426	49692754	+	10.1	0.615	exon (NM_003458, exon 5 of 12)	exon (NM_003458, exon 5 of 12)	-19194	NM_001640	327	Hs.517969	NM_001640	ENSG00000164062	APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	acylaminoacyl-peptide hydrolase	protein-coding
chr2-164	chr2	91669987	91670315	+	10.1	0.680	Intergenic	CpG	177824	NR_027238	654342	Hs.469287	NR_027238		LSP1P4	-	LSP1 pseudogene 4	pseudo
chr13-25	chr13	27946091	27946419	+	10.1	0.692	Intergenic	LTR16A1|LTR|ERVL	-52501	NM_002097	2971	Hs.445977	NM_002097	ENSG00000122034	GTF3A	AP2|TFIIIA	general transcription factor IIIA	protein-coding
chr11-98	chr11	72532595	72532923	+	10.1	0.826	exon (NM_033388, exon 4 of 18)	exon (NM_033388, exon 4 of 18)	7303	NM_001318766	89849	Hs.653186	NM_033388	ENSG00000168010	ATG16L2	ATG16B|WDR80	autophagy related 16 like 2	protein-coding
chr1-199	chr1	226297441	226297769	+	10.1	0.769	Intergenic	CpG	26329	NR_146920	105373113	Hs.149726	NR_146920		LINC01703	lncPARP1	long intergenic non-protein coding RNA 1703	ncRNA
chr4-103	chr4	183779089	183779417	+	10.1	0.708	Intergenic	AluSg|SINE|Alu	59153	NM_001351744	1635	Hs.183850	NM_001921	ENSG00000129187	DCTD	-	dCMP deaminase	protein-coding
chr13-31	chr13	35883841	35884169	+	10.1	0.750	intron (NM_015678, intron 36 of 57)	intron (NM_015678, intron 36 of 57)	166821	NM_005584	4081	Hs.584776	NM_005584	ENSG00000180660	MAB21L1	CAGR1|Nbla00126	mab-21 like 1	protein-coding
chr6-64	chr6	53174422	53174750	+	10.1	0.800	intron (NM_021814, intron 1 of 7)	MLT1F|LTR|ERVL-MaLR	27829	NR_046241	647190	Hs.520189	NR_046241		RPS16P5	RPS16_3_702	ribosomal protein S16 pseudogene 5	pseudo
chr14-45	chr14	69076985	69077313	+	10.1	0.621	intron (NM_001321809, intron 11 of 11)	intron (NM_001321809, intron 11 of 11)	18355	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
chr4-78	chr4	68148407	68148735	+	10.1	0.667	Intergenic	LTR12C|LTR|ERV1	139147	NR_110747	101927237	Hs.435644	NR_110747	ENSG00000250075	LOC101927237	-	uncharacterized LOC101927237	ncRNA
chr20-71	chr20	58401460	58401788	+	10.1	0.870	intron (NM_183246, intron 7 of 11)	intron (NM_183246, intron 7 of 11)	105359	NM_183246	116154	Hs.473218	NM_080672	ENSG00000087495	PHACTR3	C20orf101|H17739|PPP1R123|SCAPIN1|SCAPININ	phosphatase and actin regulator 3	protein-coding
chr1-213	chr1	182580938	182581266	+	10.1	0.840	Intergenic	Intergenic	-3173	NR_036490	284648	Hs.253475	NR_036490	ENSG00000261504	LINC01686	-	long intergenic non-protein coding RNA 1686	ncRNA
chr21-79	chr21	46160701	46161029	+	10.1	0.826	Intergenic	MER61-int|LTR|ERV1	-29378	NM_001272037	54084	Hs.660703	NM_144991	ENSG00000175894	TSPEAR	C21orf29|DFNB98|ECTD14|TSP-EAR	thrombospondin type laminin G domain and EAR repeats	protein-coding
chr7-71	chr7	73879402	73879730	+	10.1	0.724	intron (NM_016328, intron 1 of 26)	intron (NM_016328, intron 1 of 26)	11330	NM_001199207	9569	Hs.647056	NM_005685	ENSG00000006704	GTF2IRD1	BEN|CREAM1|GTF3|MUSTRD1|RBAP2|WBS|WBSCR11|WBSCR12|hMusTRD1alpha1	GTF2I repeat domain containing 1	protein-coding
chr11-115	chr11	1563506	1563834	+	10.1	0.692	Intergenic	Intergenic	29831	NM_004420	1850	Hs.41688	NM_004420	ENSG00000184545	DUSP8	C11orf81|HB5|HVH-5|HVH8	dual specificity phosphatase 8	protein-coding
chr5-67	chr5	139623409	139623737	+	10.1	0.739	TTS (NM_032412)	TTS (NM_032412)	59113	NM_002622	5201	Hs.483564	NM_002622	ENSG00000113068	PFDN1	PDF|PFD1	prefoldin subunit 1	protein-coding
chr16-146	chr16	68416123	68416451	+	10.1	0.870	intron (NM_018667, intron 2 of 8)	intron (NM_018667, intron 2 of 8)	66124	NM_018667	55512	Hs.368421	NM_018667	ENSG00000103056	SMPD3	NSMASE2	sphingomyelin phosphodiesterase 3	protein-coding
chr19-92	chr19	8101318	8101646	+	10.1	0.833	Intergenic	Intergenic	-16164	NM_001201359	6370	Hs.310511	NM_005624	ENSG00000131142	CCL25	Ckb15|SCYA25|TECK	C-C motif chemokine ligand 25	protein-coding
chr2-179	chr2	25479988	25480316	+	10.1	0.667	intron (NR_135490, intron 6 of 23)	intron (NR_135490, intron 6 of 23)	-4968	NM_153759	1788	Hs.515840	NM_022552	ENSG00000119772	DNMT3A	DNMT3A2|M.HsaIIIA|TBRS	DNA methyltransferase 3 alpha	protein-coding
chr19-90	chr19	59025886	59026214	+	10.1	0.708	intron (NM_032792, intron 2 of 2)	intron (NM_032792, intron 2 of 2)	-2618	NM_001321196	10998	Hs.292177	NM_012254	ENSG00000083807	SLC27A5	ACSB|ACSVL6|BACS|BAL|FACVL3|FATP-5|FATP5|VLACSR|VLCS-H2|VLCSH2	solute carrier family 27 member 5	protein-coding
chr2-149	chr2	239832416	239832744	+	10.1	0.586	TTS (NM_001271893)	TTS (NM_001271893)	15385	NR_034162	401039	Hs.516791	NM_001001698	ENSG00000227744	LINC01940	-	long intergenic non-protein coding RNA 1940	ncRNA
chr5-62	chr5	176243090	176243418	+	10.1	0.783	intron (NM_133369, intron 1 of 14)	intron (NM_133369, intron 1 of 14)	5694	NM_133369	90249	Hs.33191	NM_133369	ENSG00000113763	UNC5A	UNC5H1	unc-5 netrin receptor A	protein-coding
chr14-52	chr14	78256997	78257325	+	10.1	0.760	Intergenic	LTR33|LTR|ERVL	-9291	NM_001142545	57143	Hs.413208	NM_020421	ENSG00000063761	ADCK1	-	aarF domain containing kinase 1	protein-coding
chr16-147	chr16	52987181	52987509	+	10.1	0.833	Intergenic	HERV16-int|LTR|ERVL	99440	NR_147075	105371267	Hs.147562	NR_136518	ENSG00000277639	LOC105371267	PR-lncRNA-1	p53-regulated lncRNA 1	ncRNA
chr7-66	chr7	44275501	44275829	+	10.1	0.880	intron (NM_172079, intron 12 of 19)	MER5A|DNA|hAT-Charlie	35088	NM_001363678	10652	Hs.520794	NM_006555	ENSG00000106636	YKT6	-	YKT6 v-SNARE homolog	protein-coding
chr5-35	chr5	142100521	142100849	+	10.1	0.844	Intergenic	Intergenic	-23050	NM_001257205	2246	Hs.483635	NM_000800	ENSG00000113578	FGF1	AFGF|ECGF|ECGF-beta|ECGFA|ECGFB|FGF-1|FGF-alpha|FGFA|GLIO703|HBGF-1|HBGF1	fibroblast growth factor 1	protein-coding
chr9-87	chr9	110880056	110880384	+	10.1	0.759	Intergenic	Intergenic	-628170	NM_004235	9314	Hs.376206	NM_004235	ENSG00000136826	KLF4	EZF|GKLF	Kruppel like factor 4	protein-coding
chr10-119	chr10	102499536	102499864	+	10.1	0.720	intron (NM_001304569, intron 1 of 10)	intron (NM_001304569, intron 1 of 10)	4547	NM_001304569	5076	Hs.155644	NM_000278	ENSG00000075891	PAX2	FSGS7|PAPRS	paired box 2	protein-coding
chr17-172	chr17	34271901	34272229	+	10.1	0.640	Intergenic	Intergenic	-1348	NM_001199951	57151	Hs.97477	NM_020426	ENSG00000275722	LYZL6	HEL-S-6a|LYC1|LYZB|PRO1485|TKAL754|UNQ754	lysozyme like 6	protein-coding
chr1-186	chr1	152025912	152026240	+	10.1	0.808	Intergenic	Intergenic	-16596	NM_005620	6282	Hs.417004	NM_005620	ENSG00000163191	S100A11	HEL-S-43|MLN70|S100C	S100 calcium binding protein A11	protein-coding
chr4-89	chr4	158537352	158537680	+	10.1	0.680	Intergenic	Intergenic	43874	NR_026992	340017	Hs.428275	NR_026992	ENSG00000234111	LINC02433	-	long intergenic non-protein coding RNA 2433	ncRNA
chr6-65	chr6	40767129	40767457	+	10.1	0.750	Intergenic	Intergenic	-212190	NM_020737	57497	Hs.250015	NM_020737	ENSG00000156564	LRFN2	FIGLER2|KIAA1246|SALM1	leucine rich repeat and fibronectin type III domain containing 2	protein-coding
chr17-162	chr17	62077021	62077349	+	10.1	0.792	promoter-TSS (NR_126169)	promoter-TSS (NR_126169)	74	NR_126169	400612	Hs.591170	NR_126169	ENSG00000264954	PRR29-AS1	-	PRR29 antisense RNA 1	ncRNA
