PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-873	chr3	42024972	42025156	+	3.66	0.688	Intergenic	SVA_C|Other|Other	-21469	NR_136342	54986	Hs.656192	NM_017886	ENSG00000168038	ULK4	FAM7C1|REC01035	unc-51 like kinase 4	protein-coding
chr3-639	chr3	5028385	5028569	+	3.66	0.595	Intergenic	CpG	-6831	NR_037903	100507582	Hs.434505	NR_037903	ENSG00000235831	BHLHE40-AS1	-	BHLHE40 antisense RNA 1	ncRNA
chr9-1275	chr9	5450463	5450647	+	3.66	0.667	promoter-TSS (NM_001314029)	promoter-TSS (NM_001314029)	13	NM_001314029	29126	Hs.521989	NM_014143	ENSG00000120217	CD274	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1|hPD-L1	CD274 molecule	protein-coding
chr18-257	chr18	44491659	44491843	+	3.66	0.821	intron (NR_148703, intron 1 of 16)	AluSq2|SINE|Alu	5719	NM_001324055	9063	Hs.57769	NM_004671	ENSG00000078043	PIAS2	ARIP3|DIP|MIZ1|PIASX|SIZ2|ZMIZ4	protein inhibitor of activated STAT 2	protein-coding
chr13-456	chr13	21314232	21314416	+	3.66	0.676	intron (NM_174928, intron 2 of 4)	LTR12C|LTR|ERV1	33773	NM_174928	221143	Hs.26674	NM_174928	ENSG00000150456	EEF1AKMT1	ESP13|N6AMT2	EEF1A lysine methyltransferase 1	protein-coding
chr1-1943	chr1	45571877	45572061	+	3.66	0.605	intron (NM_020883, intron 1 of 13)	SVA_A|Other|Other	94043	NR_158185	7389	Hs.78601	NM_000374	ENSG00000126088	UROD	PCT|UPD	uroporphyrinogen decarboxylase	protein-coding
chr20-839	chr20	20605671	20605855	+	3.66	0.828	intron (NM_020343, intron 10 of 39)	(CCTG)n|Simple_repeat|Simple_repeat	87524	NM_020343	57186	Hs.472285	NM_020343	ENSG00000188559	RALGAPA2	AS250|C20orf74|bA287B20.1|dJ1049G11|dJ1049G11.4|p220	Ral GTPase activating protein catalytic alpha subunit 2	protein-coding
chr7-973	chr7	91570847	91571031	+	3.66	0.719	intron (NM_147185, intron 1 of 49)	intron (NM_147185, intron 1 of 49)	750	NM_005751	10142	Hs.651221	NM_005751	ENSG00000127914	AKAP9	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	A-kinase anchoring protein 9	protein-coding
chr3-830	chr3	189313879	189314063	+	3.66	0.667	promoter-TSS (NM_001329964)	promoter-TSS (NM_001329964)	-564	NM_001329964	8626	Hs.137569	NM_003722	ENSG00000073282	TP63	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	tumor protein p63	protein-coding
chr16-974	chr16	81069543	81069727	+	3.66	0.714	exon (NM_015251, exon 1 of 4)	exon (NM_015251, exon 1 of 4)	188	NM_015251	23300	Hs.16349	NM_015251	ENSG00000166454	ATMIN	ASCIZ|ZNF822	ATM interactor	protein-coding
chr12-914	chr12	129975952	129976136	+	3.66	0.633	intron (NM_133448, intron 3 of 8)	MLT1J2|LTR|ERVL-MaLR	282898	NR_110058	101927735	Hs.569212	NR_110058	ENSG00000256699	TMEM132D-AS2	-	TMEM132D antisense RNA 2	ncRNA
chr11-1288	chr11	72696868	72697052	+	3.66	0.778	intron (NM_014824, intron 6 of 19)	intron (NM_014824, intron 6 of 19)	156403	NM_014824	9873	Hs.744959	NM_014824	ENSG00000137478	FCHSD2	NWK|NWK1|SH3MD3	FCH and double SH3 domains 2	protein-coding
chr3-740	chr3	94416470	94416654	+	3.66	0.706	Intergenic	AluY|SINE|Alu	-106886	NR_106788	102466722		NR_106788	ENSG00000276830	MIR6730	hsa-mir-6730	microRNA 6730	ncRNA
chr15-334	chr15	39109945	39110129	+	3.66	0.824	Intergenic	Intergenic	121238	NR_160786								
chr2-1289	chr2	127203773	127203957	+	3.66	0.677	Intergenic	Intergenic	-209646	NM_001256584	2995	Hs.59138	NM_002101	ENSG00000136732	GYPC	CD236|CD236R|GE|GE:GPC:GPD:GYPD|GPC|GPD|GYPD|PAS-2|PAS-2'	glycophorin C (Gerbich blood group)	protein-coding
chr21-668	chr21	31852453	31852637	+	3.66	0.700	exon (NM_181607, exon 1 of 1)	exon (NM_181607, exon 1 of 1)	141	NM_181607	337882	Hs.61552	NM_181607	ENSG00000184351	KRTAP19-1	KAP19.1	keratin associated protein 19-1	protein-coding
chr11-1121	chr11	114799034	114799218	+	3.66	0.700	Intergenic	Intergenic	249877	NM_182495	120406	Hs.446760	NM_182495	ENSG00000204361	NXPE2	FAM55B	neurexophilin and PC-esterase domain family member 2	protein-coding
chr2-933	chr2	26503549	26503733	+	3.66	0.793	intron (NM_001281512, intron 9 of 14)	AluSp|SINE|Alu	35834	NM_001281513	3032	Hs.515848	NM_000183	ENSG00000138029	HADHB	ECHB|MSTP029|MTPB|TP-BETA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	protein-coding
chr15-624	chr15	47216462	47216646	+	3.66	0.793	Intergenic	AluSp|SINE|Alu	-259732	NM_001198999	80031	Hs.511265	NM_020858	ENSG00000137872	SEMA6D	-	semaphorin 6D	protein-coding
chr5-810	chr5	146372625	146372809	+	3.66	0.741	intron (NM_001271900, intron 2 of 10)	AluSx|SINE|Alu	62983	NM_181674	5521	Hs.627618	NM_181674	ENSG00000156475	PPP2R2B	B55BETA|PP2AB55BETA|PP2ABBETA|PP2APR55B|PP2APR55BETA|PR2AB55BETA|PR2ABBETA|PR2APR55BETA|PR52B|PR55-BETA|PR55BETA|SCA12	protein phosphatase 2 regulatory subunit Bbeta	protein-coding
chr2-1477	chr2	229476698	229476882	+	3.66	0.657	promoter-TSS (NR_151716)	promoter-TSS (NR_151716)	-679	NR_151716	101928765	Hs.334040	NR_151716	ENSG00000232023	LINC01807	-	long intergenic non-protein coding RNA 1807	ncRNA
chr1-1327	chr1	248328386	248328570	+	3.66	0.550	Intergenic	Intergenic	-14810	NM_001004688	391194	Hs.534728	NM_001004688	ENSG00000198601	OR2M2	OR2M2Q|OST423	olfactory receptor family 2 subfamily M member 2	protein-coding
chr18-337	chr18	9296931	9297115	+	3.66	0.656	Intergenic	LTR12C|LTR|ERV1	-37748	NM_020648	57045	Hs.514685	NM_020648	ENSG00000128791	TWSG1	TSG	twisted gastrulation BMP signaling modulator 1	protein-coding
chr6-667	chr6	89827950	89828134	+	3.66	0.576	promoter-TSS (NM_080743)	promoter-TSS (NM_080743)	-252	NM_080743	135295	Hs.254414	NM_080743	ENSG00000154548	SRSF12	SFRS13B|SFRS19|SRrp35	serine and arginine rich splicing factor 12	protein-coding
chr3-811	chr3	110962193	110962377	+	3.66	0.625	Intergenic	MER52A|LTR|ERV1	171622	NM_015480	25945	Hs.293917	NM_015480	ENSG00000177707	NECTIN3	CD113|CDW113|NECTIN-3|PPR3|PRR3|PVRL3|PVRR3	nectin cell adhesion molecule 3	protein-coding
chr6-703	chr6	113996602	113996786	+	3.66	0.679	Intergenic	AluSq2|SINE|Alu	-25417	NR_125844	101927686	Hs.402044	NR_125844	ENSG00000230943	LINC02541	-	long intergenic non-protein coding RNA 2541	ncRNA
chr1-2372	chr1	200445981	200446165	+	3.66	0.793	Intergenic	AluSz|SINE|Alu	-66909	NM_001281294	23528	Hs.59757	NM_012482	ENSG00000162702	ZNF281	ZBP-99|ZNP-99	zinc finger protein 281	protein-coding
chr20-856	chr20	17206623	17206807	+	3.66	0.611	promoter-TSS (NM_002594)	promoter-TSS (NM_002594)	-37	NM_001201528	5126	Hs.315186	NM_002594	ENSG00000125851	PCSK2	NEC 2|NEC-2|NEC2|PC2|SPC2	proprotein convertase subtilisin/kexin type 2	protein-coding
chr5-804	chr5	108329043	108329227	+	3.66	0.647	intron (NR_146155, intron 13 of 19)	SVA_D|Other|Other	68828	NM_001308031	2241	Hs.107418	NM_005246	ENSG00000151422	FER	PPP1R74|TYK3|p94-Fer	FER tyrosine kinase	protein-coding
chr7-1130	chr7	155936678	155936862	+	3.66	0.639	Intergenic	Intergenic	181444	NM_001291913	389602	Hs.583071	NM_001291913		LOC389602	-	uncharacterized LOC389602	protein-coding
chr3-846	chr3	135350843	135351027	+	3.66	0.657	Intergenic	AluSx1|SINE|Alu	-333635	NM_001190447	5523	Hs.518155	NM_002718	ENSG00000073711	PPP2R3A	PPP2R3|PR130|PR72	protein phosphatase 2 regulatory subunit B''alpha	protein-coding
chr14-684	chr14	29181250	29181434	+	3.66	0.611	Intergenic	L1M2|LINE|L1	53183	NR_125758	103695363	Hs.569360	NR_125758		FOXG1-AS1	FOXG1-AS	FOXG1 antisense RNA 1	ncRNA
chr4-946	chr4	174012142	174012326	+	3.66	0.786	Intergenic	AluSx1|SINE|Alu	-77728	NM_017423	51809	Hs.548088	NM_017423	ENSG00000109586	GALNT7	GALNAC-T7|GalNAcT7	polypeptide N-acetylgalactosaminyltransferase 7	protein-coding
chr14-714	chr14	45723283	45723467	+	3.66	0.742	promoter-TSS (NM_018353)	promoter-TSS (NM_018353)	-970	NM_018353	55320	Hs.732769	NM_018353	ENSG00000129534	MIS18BP1	C14orf106|HSA242977|KNL2|M18BP1	MIS18 binding protein 1	protein-coding
chr6-728	chr6	10572621	10572805	+	3.66	0.793	intron (NM_001491, intron 1 of 2)	AluY|SINE|Alu	-13280	NM_145655	2651	Hs.519884	NM_001491	ENSG00000111846	GCNT2	CCAT|CTRCT13|GCNT2C|GCNT5|IGNT|II|NACGT1|NAGCT1|ULG3|bA360O19.2|bA421M1.1	glucosaminyl (N-acetyl) transferase 2 (I blood group)	protein-coding
chr14-557	chr14	65068493	65068677	+	3.66	0.793	Intergenic	CpG	51906	NM_172365	145376	Hs.144696	NM_172365	ENSG00000165807	PPP1R36	C14orf50	protein phosphatase 1 regulatory subunit 36	protein-coding
chr12-739	chr12	9819348	9819532	+	3.66	0.656	Intergenic	AluYk4|SINE|Alu	-2869	NM_001004419	29121	Hs.268326	NM_013269	ENSG00000069493	CLEC2D	CLAX|LLT1|OCIL	C-type lectin domain family 2 member D	protein-coding
chr19-1140	chr19	15989699	15989883	+	3.66	0.688	intron (NM_001082, intron 12 of 12)	intron (NM_001082, intron 12 of 12)	-14057	NM_001302493	102724279	Hs.164360	NM_001302493		LINC01835	-	long intergenic non-protein coding RNA 1835	protein-coding
chr2-1361	chr2	230540587	230540771	+	3.66	0.742	intron (NM_139072, intron 1 of 12)	intron (NM_139072, intron 1 of 12)	38592	NM_139072	92737	Hs.234074	NM_139072	ENSG00000187957	DNER	UNQ26|bet	delta/notch like EGF repeat containing	protein-coding
chr11-1284	chr11	62264088	62264272	+	3.66	0.852	intron (NM_024060, intron 4 of 5)	AluSg|SINE|Alu	48956	NM_001346446	79026	Hs.502756	NM_001620	ENSG00000124942	AHNAK	AHNAKRS|PM227	AHNAK nucleoprotein	protein-coding
chr5-767	chr5	49672510	49672694	+	3.66	0.676	Intergenic	LTR12C|LTR|ERV1	64520	NM_198449	133418	Hs.561411	NM_198449	ENSG00000170571	EMB	GP70	embigin	protein-coding
chr6-642	chr6	22148396	22148580	+	3.66	0.771	intron (NR_015410, intron 9 of 11)	intron (NR_015410, intron 9 of 11)	-1066	NR_034143	729177	Hs.730673	NR_034143	ENSG00000260455	NBAT1	CASC14|NBAT-1	neuroblastoma associated transcript 1	ncRNA
chr7-1281	chr7	47802482	47802666	+	3.66	0.595	intron (NR_038407, intron 1 of 2)	intron (NR_038407, intron 1 of 2)	1500	NR_038407	84847	Hs.488236	NR_038407	ENSG00000146666	LINC00525	-	long intergenic non-protein coding RNA 525	ncRNA
chr3-725	chr3	37274747	37274931	+	3.66	0.733	Intergenic	LTR12C|LTR|ERV1	-9923	NM_002078	2803	Hs.344151	NM_002078	ENSG00000144674	GOLGA4	CRPF46|GCP2|GOLG|MU-RMS-40.18|p230	golgin A4	protein-coding
chr13-413	chr13	53392217	53392401	+	3.66	0.600	Intergenic	SVA_B|Other|Other	8124	NR_031582	100313778		NR_031582	ENSG00000211579	MIR759	hsa-mir-759	microRNA 759	ncRNA
chr22-875	chr22	34046534	34046718	+	3.66	0.625	exon (NM_001362951, exon 3 of 15)	exon (NM_001362951, exon 3 of 15)	54280	NR_145833	109616998		NR_145833	ENSG00000253007	SNORA50B	-	small nucleolar RNA, H/ACA box 50B	snoRNA
chr9-1128	chr9	6897925	6898109	+	3.66	0.793	intron (NR_148680, intron 8 of 21)	intron (NR_148680, intron 8 of 21)	140667	NR_148679	23081	Hs.709425	NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
chr16-1307	chr16	50100575	50100759	+	3.66	0.684	5' UTR (NM_001329729, exon 3 of 16)	5' UTR (NM_001329729, exon 3 of 16)	786	NM_001329731	55027	Hs.733027	NM_017939	ENSG00000155393	HEATR3	SYO1	HEAT repeat containing 3	protein-coding
chr4-942	chr4	87845377	87845561	+	3.66	0.657	TTS (NR_038841)	TTS (NR_038841)	10533	NR_038841	100506746	Hs.657766	NR_038841		AFF1-AS1	-	AFF1 antisense RNA 1	ncRNA
chr15-567	chr15	33022866	33023050	+	3.66	0.750	exon (NM_013372, exon 2 of 2)	exon (NM_013372, exon 2 of 2)	-11892	NR_109767	100131315	Hs.610545	NR_109767	ENSG00000259721	LOC100131315	-	uncharacterized LOC100131315	ncRNA
chr10-1181	chr10	116527718	116527902	+	3.66	0.710	intron (NR_120628, intron 1 of 2)	CpG	253	NM_001322886	3983	Hs.438236	NM_002313	ENSG00000099204	ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1	actin binding LIM protein 1	protein-coding
chr8-857	chr8	136090075	136090259	+	3.66	0.677	Intergenic	Intergenic	-156207	NR_026706	286094	Hs.440978	NR_026706	ENSG00000254083	LINC01591	-	long intergenic non-protein coding RNA 1591	ncRNA
chr5-696	chr5	45082630	45082814	+	3.66	0.606	Intergenic	AluY|SINE|Alu	273673	NM_016640	10884	Hs.124165	NM_016640	ENSG00000112996	MRPS30	MRP-S30|PAP|PDCD9|S30mt	mitochondrial ribosomal protein S30	protein-coding
chr11-1172	chr11	11008607	11008791	+	3.66	0.688	Intergenic	MER1B|DNA|hAT-Charlie	128935	NR_034137	729013	Hs.726427	NR_034137	ENSG00000247271	ZBED5-AS1	-	ZBED5 antisense RNA 1	ncRNA
chr5-699	chr5	91967048	91967232	+	3.66	0.595	Intergenic	LTR12C|LTR|ERV1	939909	NR_109825	441094	Hs.457407	NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
chr11-1192	chr11	114693406	114693590	+	3.66	0.667	Intergenic	AluY|SINE|Alu	144249	NM_182495	120406	Hs.446760	NM_182495	ENSG00000204361	NXPE2	FAM55B	neurexophilin and PC-esterase domain family member 2	protein-coding
chr5-739	chr5	75608261	75608445	+	3.66	0.667	intron (NM_001297716, intron 12 of 12)	AluSx1|SINE|Alu	-90757	NM_006633	10788	Hs.291030	NM_006633	ENSG00000145703	IQGAP2	-	IQ motif containing GTPase activating protein 2	protein-coding
chr16-1470	chr16	12810696	12810880	+	3.66	0.700	intron (NM_018340, intron 2 of 3)	L2c|LINE|L2	-3390	NR_039869	100616195		NR_039869	ENSG00000264733	MIR4718	-	microRNA 4718	ncRNA
chr10-938	chr10	101651570	101651754	+	3.66	0.750	intron (NM_001318326, intron 8 of 13)	SVA_F|Other|Other	22187	NM_001318327	23268	Hs.500771	NM_015221	ENSG00000107554	DNMBP	ARHGEF36|CTRCT48|TUBA	dynamin binding protein	protein-coding
chr7-1230	chr7	43484558	43484742	+	3.66	0.606	exon (NM_001287059, exon 10 of 28)	exon (NM_001287059, exon 10 of 28)	77491	NR_038276	100506895	Hs.676047	NR_038276	ENSG00000231638	LUARIS	SCAT6|lncRNA32	lncRNA upregulator of antiviral response interferon signaling	ncRNA
chr3-742	chr3	78554874	78555058	+	3.66	0.629	Intergenic	AluY|SINE|Alu	-456852	NR_146636	105377172		NR_146636		LINC02077	-	long intergenic non-protein coding RNA 2077	ncRNA
chr9-1093	chr9	92321849	92322033	+	3.66	0.677	intron (NR_024280, intron 5 of 5)	intron (NR_024280, intron 5 of 5)	67243	NR_024280	100129066	Hs.125947	NR_024280	ENSG00000237372	UNQ6494	-	uncharacterized LOC100129066	ncRNA
chr19-1659	chr19	30753563	30753747	+	3.66	0.765	Intergenic	Intergenic	-109636	NM_001352260	9745	Hs.378901	NM_014717	ENSG00000198597	ZNF536	-	zinc finger protein 536	protein-coding
chr10-935	chr10	76636740	76636924	+	3.66	0.667	intron (NM_001370144, intron 3 of 15)	AluSx|SINE|Alu	-35712	NR_134476	101929165	Hs.670533	NR_134476		LOC101929165	-	uncharacterized LOC101929165	ncRNA
chr5-856	chr5	107179501	107179685	+	3.66	0.667	Intergenic	Intergenic	-172955	NM_001962	1946	Hs.288741	NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
chr1-2310	chr1	22380692	22380876	+	3.66	0.793	intron (NM_001791, intron 1 of 5)	AluJb|SINE|Alu	1582	NM_001791	998	Hs.467637	NM_001791	ENSG00000070831	CDC42	CDC42Hs|G25K|TKS	cell division cycle 42	protein-coding
chr16-1575	chr16	34442144	34442328	+	3.66	0.583	Intergenic	CpG	12106	NR_157262	112268173	Hs.369226	NR_157261		LOC112268173	-	uncharacterized LOC112268173	ncRNA
chr1-1444	chr1	231589948	231590132	+	3.66	0.711	Intergenic	SVA_B|Other|Other	22231	NR_033826	645339	Hs.382049	NR_033826		SNRPD2P2	-	small nuclear ribonucleoprotein D2 pseudogene 2	pseudo
chr22-1041	chr22	23685172	23685356	+	3.66	0.733	Intergenic	AluSq10|SINE|Alu	16461	NR_149133	102724679	Hs.517462	NR_149133	ENSG00000236611	LINC02556	-	long intergenic non-protein coding RNA 2556	ncRNA
chr16-1611	chr16	15537266	15537450	+	3.66	0.629	intron (NM_033201, intron 1 of 5)	AluJb|SINE|Alu	8913	NM_033201	89927	Hs.401798	NM_033201	ENSG00000166780	BMERB1	C16orf45|MINP	bMERB domain containing 1	protein-coding
chr7-1279	chr7	30029331	30029515	+	3.66	0.733	promoter-TSS (NM_014766)	promoter-TSS (NM_014766)	-6	NM_001145515	9805	Hs.520740	NM_014766	ENSG00000136193	SCRN1	SES1	secernin 1	protein-coding
chr1-2277	chr1	16577936	16578120	+	3.66	0.649	exon (NM_018994, exon 10 of 10)	exon (NM_018994, exon 10 of 10)	-14350	NM_030907	79363	Hs.546430	NM_030907	ENSG00000132881	CPLANE2	C1orf89|RSG1	ciliogenesis and planar polarity effector 2	protein-coding
chr1-2137	chr1	196902831	196903015	+	3.66	0.647	Intergenic	LTR12C|LTR|ERV1	-9945	NM_005666	3080	Hs.632450	NM_005666	ENSG00000080910	CFHR2	CFHL2|FHR2|HFL3	complement factor H related 2	protein-coding
chr6-653	chr6	2661915	2662099	+	3.66	0.700	Intergenic	Intergenic	-27170	NR_131168	154386	Hs.680574	NM_152554	ENSG00000164385	LINC01600	C6orf195|bA145H9.2	long intergenic non-protein coding RNA 1600	ncRNA
chr5-715	chr5	55693789	55693973	+	3.66	0.647	Intergenic	SVA_B|Other|Other	83715	NR_104664	102467147	Hs.650177	NR_104664	ENSG00000248727	LINC01948	-	long intergenic non-protein coding RNA 1948	ncRNA
chr21-621	chr21	35840821	35841005	+	3.66	0.618	intron (NM_001270402, intron 1 of 2)	L1PA10|LINE|L1	-8677	NM_001270405	3753	Hs.121495	NM_000219	ENSG00000180509	KCNE1	ISK|JLNS|JLNS2|LQT2/5|LQT5|MinK	potassium voltage-gated channel subfamily E regulatory subunit 1	protein-coding
chr7-1172	chr7	141995935	141996119	+	3.66	0.562	Intergenic	Intergenic	-23959	NR_036483	207147	Hs.604069	NR_036483	ENSG00000186163	TRY2P	-	trypsinogen-like pseudogene	pseudo
chr5-535	chr5	153814957	153815141	+	3.66	0.694	intron (NR_037897, intron 2 of 2)	MER1B|DNA|hAT-Charlie	10333	NR_037897	386627	Hs.652021	NR_037897		SAP30L-AS1	GALNT10-AS1	SAP30L antisense RNA 1 (head to head)	ncRNA
chr11-1311	chr11	32915315	32915499	+	3.66	0.688	intron (NM_001076786, intron 1 of 12)	CpG	1050	NM_001076786	79832	Hs.369368	NM_024774	ENSG00000060749	QSER1	-	glutamine and serine rich 1	protein-coding
chr8-415	chr8	32186491	32186675	+	3.66	0.742	intron (NM_013962, intron 1 of 4)	AluJb|SINE|Alu	-111679	NR_047475	100874286	Hs.147060	NR_047475	ENSG00000254049	NRG1-IT3	-	NRG1 intronic transcript 3	ncRNA
chr18-411	chr18	7294107	7294291	+	3.66	0.545	Intergenic	AluSx1|SINE|Alu	63097	NM_001105581	339291	Hs.647588	NM_001105581	ENSG00000206422	LRRC30	-	leucine rich repeat containing 30	protein-coding
chr13-431	chr13	105433232	105433416	+	3.66	0.588	Intergenic	(TGGG)n|Simple_repeat|Simple_repeat	-684892	NM_001161814	267012	Hs.381382	NM_172370	ENSG00000182346	DAOA	LG72|SG72	D-amino acid oxidase activator	protein-coding
chr3-509	chr3	141482210	141482394	+	3.66	0.622	Intergenic	Intergenic	-14741	NM_139209	131890	Hs.680654	NM_139209	ENSG00000114124	GRK7	GPRK7	G protein-coupled receptor kinase 7	protein-coding
chr22-819	chr22	34114723	34114907	+	3.66	0.688	intron (NM_001362949, intron 3 of 15)	AluSx1|SINE|Alu	-6157	NR_038949	100506195	Hs.658872	NR_038949	ENSG00000224973	LARGE-AS1	-	LARGE antisense RNA 1	ncRNA
chr15-549	chr15	57896813	57896997	+	3.66	0.750	intron (NM_001018100, intron 2 of 12)	intron (NM_001018100, intron 2 of 12)	12803	NR_104368	145781	Hs.437256	NM_001018090	ENSG00000137878	GCOM1	GRINL1A|Gcom2|MYZAP|MYZAP-POLR2M|gcom	GRINL1A complex locus 1	protein-coding
chr7-1354	chr7	67421620	67421804	+	3.66	0.786	Intergenic	AluSq2|SINE|Alu	-63528	NR_120514	102723427	Hs.583491	NR_120514	ENSG00000225209	LOC102723427	-	uncharacterized LOC102723427	ncRNA
chr14-658	chr14	36545649	36545833	+	3.66	0.727	intron (NR_073454, intron 1 of 2)	LTR16E1|LTR|ERVL	6108	NR_073454	101101773	Hs.640678	NR_073454	ENSG00000257585	LINC00609	-	long intergenic non-protein coding RNA 609	ncRNA
chr17-1506	chr17	283035	283219	+	3.66	0.656	Intergenic	AluSz6|SINE|Alu	12604	NM_182705	359845	Hs.345588	NM_182705	ENSG00000183688	RFLNB	CFM1|FAM101B	refilin B	protein-coding
chr2-1287	chr2	182826956	182827140	+	3.66	0.742	intron (NR_048567, intron 1 of 4)	intron (NR_048567, intron 1 of 4)	8080	NR_048567	151242	Hs.10941	NM_001080545	ENSG00000150722	PPP1R1C	IPP5	protein phosphatase 1 regulatory inhibitor subunit 1C	protein-coding
chr4-825	chr4	88317128	88317312	+	3.66	0.585	Intergenic	LTR12C|LTR|ERV1	-4880	NM_016245	51170	Hs.594923	NM_016245	ENSG00000198189	HSD17B11	17-BETA-HSD11|17-BETA-HSDXI|17BHSD11|DHRS8|PAN1B|RETSDR2|SDR16C2	hydroxysteroid 17-beta dehydrogenase 11	protein-coding
chr2-1597	chr2	122789130	122789314	+	3.66	0.568	Intergenic	Intergenic	275995	NM_004622	7247	Hs.75066	NM_004622	ENSG00000211460	TSN	BCLF-1|C3PO|RCHF1|REHF-1|TBRBP|TRSLN	translin	protein-coding
chr18-408	chr18	61709099	61709283	+	3.66	0.667	Intergenic	AluSz|SINE|Alu	-62134	NR_033881	284294	Hs.385642	NR_033881	ENSG00000267134	LINC01924	-	long intergenic non-protein coding RNA 1924	ncRNA
chr2-1456	chr2	200993728	200993912	+	3.66	0.645	Intergenic	AluY|SINE|Alu	-173606	NR_109905	129450	Hs.204619	NM_152382	ENSG00000162971	TYW5	C2orf60|hTYW5	tRNA-yW synthesizing protein 5	protein-coding
chr13-433	chr13	44357995	44358179	+	3.66	0.852	intron (NM_001347966, intron 1 of 17)	intron (NM_001347966, intron 1 of 17)	3021	NM_001347966	55068	Hs.128258	NM_017993	ENSG00000120658	ENOX1	CNOX|PIG38|bA64J21.1|cCNOX	ecto-NOX disulfide-thiol exchanger 1	protein-coding
chr11-1238	chr11	63472804	63472988	+	3.66	0.759	intron (NM_201429, intron 2 of 7)	AluJb|SINE|Alu	23924	NM_001265590	10313	Hs.743229	NM_006054	ENSG00000133318	RTN3	ASYIP|HAP|NSPL2|NSPLII|RTN3-A1	reticulon 3	protein-coding
chr5-755	chr5	154393215	154393399	+	3.66	0.714	promoter-TSS (NM_001099293)	promoter-TSS (NM_001099293)	-8	NM_001099293	285643	Hs.567824	NM_001099293	ENSG00000226650	KIF4B	-	kinesin family member 4B	protein-coding
chr8-674	chr8	81229491	81229675	+	3.66	0.786	Intergenic	AluSx1|SINE|Alu	75959	NR_049894	100847056		NR_049894	ENSG00000265588	MIR5708	-	microRNA 5708	ncRNA
chr8-887	chr8	120533297	120533481	+	3.66	0.600	Intergenic	L1PA5|LINE|L1	71859	NR_045555	5168	Hs.190977	NM_006209	ENSG00000136960	ENPP2	ATX|ATX-X|AUTOTAXIN|LysoPLD|NPP2|PD-IALPHA|PDNP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	protein-coding
chr1-2304	chr1	159207915	159208099	+	3.66	0.594	Intergenic	AluSx3|SINE|Alu	33342	NM_001122951	2532	Hs.153381	NM_002036	ENSG00000213088	ACKR1	CCBP1|CD234|DARC|DARC/ACKR1|Dfy|FY|GPD|GpFy|WBCQ1	atypical chemokine receptor 1 (Duffy blood group)	protein-coding
chr4-834	chr4	190224411	190224595	+	3.66	0.690	Intergenic	AluY|SINE|Alu	-356257	NR_121679	101928971	Hs.519164	NR_121679	ENSG00000250739	LINC01262	TCONS_l2_00021807	long intergenic non-protein coding RNA 1262	ncRNA
chr5-921	chr5	14615389	14615573	+	3.66	0.647	3' UTR (NM_019018, exon 8 of 8)	3' UTR (NM_019018, exon 8 of 8)	33580	NM_019018	54491	Hs.155085	NM_019018	ENSG00000145569	OTULINL	FAM105A|NET20	OTU deubiquitinase with linear linkage specificity like	protein-coding
chr11-1113	chr11	91748328	91748512	+	3.66	0.655	Intergenic	L1PA6|LINE|L1	-209780	NM_001367949	120114	Hs.98523	NM_001008781	ENSG00000165323	FAT3	CDHF15|CDHR10|hFat3	FAT atypical cadherin 3	protein-coding
chr3-483	chr3	8481952	8482136	+	3.66	0.553	intron (NR_033378, intron 3 of 3)	SVA_D|Other|Other	61300	NR_033378	100288428	Hs.651576	NR_033378	ENSG00000227110	LMCD1-AS1	-	LMCD1 antisense RNA 1	ncRNA
chr2-1370	chr2	13066938	13067122	+	3.66	0.636	Intergenic	LTR12C|LTR|ERV1	80108	NR_038434	100506474	Hs.242196	NR_038434	ENSG00000225649	LOC100506474	-	uncharacterized LOC100506474	ncRNA
chr3-878	chr3	33128709	33128893	+	3.66	0.629	intron (NM_001317040, intron 1 of 16)	AluSz|SINE|Alu	9523	NM_001079811	2720	Hs.443031	NM_000404	ENSG00000170266	GLB1	EBP|ELNR1|MPS4B	galactosidase beta 1	protein-coding
