PeakID (cmd=annotatePeaks.pl NEUROG3_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-19	chr3	182833974	182834387	+	0	NA	Intergenic	Intergenic	-16805	NM_001363880	56922	Hs.47649	NM_020166	ENSG00000078070	MCCC1	MCC-B|MCCA	methylcrotonoyl-CoA carboxylase 1	protein-coding
1-3910	chr13	42534911	42535324	+	0	NA	promoter-TSS (NR_039974)	promoter-TSS (NR_039974)	104	NM_001009814	23078	Hs.368282	NM_015058	ENSG00000102763	VWA8	KIAA0564|P7BP2	von Willebrand factor A domain containing 8	protein-coding
1-7038	chr18	28536991	28537404	+	0	NA	Intergenic	Intergenic	85511	NM_001941	1825	Hs.41690	NM_001941	ENSG00000134762	DSC3	CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP	desmocollin 3	protein-coding
1-827	chr7	95951504	95951917	+	0	NA	promoter-TSS (NM_014251)	promoter-TSS (NM_014251)	-251	NM_001160210	10165	Hs.489190	NM_014251	ENSG00000004864	SLC25A13	ARALAR2|CITRIN|CTLN2	solute carrier family 25 member 13	protein-coding
1-3876	chr11	102337957	102338370	+	0	NA	intron (NR_135076, intron 1 of 2)	intron (NR_135076, intron 1 of 2)	177	NR_135076	102723838	Hs.738066	NR_135076	ENSG00000255482	LOC102723838	-	uncharacterized LOC102723838	ncRNA
1-7447	chr10	67035044	67035457	+	0	NA	Intergenic	BLACKJACK|DNA|hAT-Blackjack	-295933	NR_120647	101928913	Hs.568857	NR_120647		LINC01515	-	long intergenic non-protein coding RNA 1515	ncRNA
1-6733	chr2	174455064	174455477	+	0	NA	Intergenic	Intergenic	235670	NM_145810	83879	Hs.470654	NM_031942	ENSG00000144354	CDCA7	ICF3|JPO1	cell division cycle associated 7	protein-coding
1-3807	chr7	137897006	137897419	+	0	NA	Intergenic	MER110|LTR|ERV1	88708	NR_039678	100616226		NR_039678	ENSG00000284028	MIR4468	-	microRNA 4468	ncRNA
1-3131	chr6	170395869	170396282	+	0	NA	Intergenic	Intergenic	-79791	NR_125878	102724511	Hs.550045	NR_125878		LOC102724511	-	uncharacterized LOC102724511	ncRNA
1-3822	chr8	144027303	144027716	+	0	NA	Intergenic	Intergenic	-28250	NM_000498	1585	Hs.632054	NM_000498	ENSG00000179142	CYP11B2	ALDOS|CPN2|CYP11B|CYP11BL|CYPXIB2|P-450C18|P450C18|P450aldo	cytochrome P450 family 11 subfamily B member 2	protein-coding
1-3088	chr3	13641173	13641586	+	0	NA	intron (NM_001165035, intron 2 of 17)	intron (NM_001165035, intron 2 of 17)	-18502	NR_132775	106635526		NR_132775		SNORA93	-	small nucleolar RNA, H/ACA box 93	snoRNA
1-4867	chr16	10821828	10822241	+	0	NA	Intergenic	Intergenic	-15609	NM_001278506	4682	Hs.81469	NM_002484	ENSG00000103274	NUBP1	CIAO5|NBP|NBP1|NBP35	nucleotide binding protein 1	protein-coding
1-915	chr1	192458876	192459289	+	0	NA	Intergenic	Intergenic	-85821	NM_002922	5996	Hs.75256	NM_002922	ENSG00000090104	RGS1	1R20|BL34|HEL-S-87|IER1|IR20	regulator of G protein signaling 1	protein-coding
1-7412	chr9	4056648	4057061	+	0	NA	intron (NM_001042413, intron 4 of 10)	MER91B|DNA|hAT-Tip100	95329	NM_152629	169792	Hs.162125	NM_152629	ENSG00000107249	GLIS3	NDH|ZNF515	GLIS family zinc finger 3	protein-coding
1-319	chr1	244211256	244211669	+	0	NA	promoter-TSS (NM_001278196)	promoter-TSS (NM_001278196)	-779	NM_001278196	10472	Hs.69997	NM_006352	ENSG00000179456	ZBTB18	C2H2-171|MRD22|RP58|TAZ-1|ZNF238	zinc finger and BTB domain containing 18	protein-coding
1-3024	chr21	42936897	42937310	+	0	NA	Intergenic	Intergenic	-57018	NM_005656	7113	Hs.439309	NM_005656	ENSG00000184012	TMPRSS2	PP9284|PRSS10	transmembrane serine protease 2	protein-coding
1-7015	chr16	89188873	89189286	+	0	NA	intron (NR_104293, intron 7 of 10)	intron (NR_104293, intron 7 of 10)	-13877	NR_045667	197322	Hs.461727	NM_174917	ENSG00000176715	ACSF3	-	acyl-CoA synthetase family member 3	protein-coding
1-7715	chr3	57315871	57316284	+	0	NA	intron (NM_001142733, intron 6 of 10)	intron (NM_001142733, intron 6 of 10)	-3097	NM_130387	142686	Hs.665154	NM_130387	ENSG00000239388	ASB14	-	ankyrin repeat and SOCS box containing 14	protein-coding
1-3683	chr1	214620184	214620597	+	0	NA	intron (NM_005401, intron 3 of 18)	intron (NM_005401, intron 3 of 18)	104555	NM_005401	5784	Hs.193557	NM_005401	ENSG00000152104	PTPN14	CATLPH|PEZ|PTP36	protein tyrosine phosphatase non-receptor type 14	protein-coding
1-5557	chr1	150953667	150954080	+	0	NA	promoter-TSS (NM_003568)	promoter-TSS (NM_003568)	-895	NM_003568	8416	Hs.3346	NM_003568	ENSG00000143412	ANXA9	ANX31	annexin A9	protein-coding
1-4815	chr12	70291488	70291901	+	0	NA	intron (NM_182530, intron 10 of 24)	intron (NM_182530, intron 10 of 24)	72687	NM_182530	196446	Hs.253773	NM_182530	ENSG00000166268	MYRFL	C12orf15|C12orf28|bcm1377	myelin regulatory factor like	protein-coding
1-236	chr18	74826886	74827299	+	0	NA	intron (NM_001025100, intron 1 of 3)	intron (NM_001025100, intron 1 of 3)	17647	NM_001025100	4155	Hs.551713	NM_002385	ENSG00000197971	MBP	-	myelin basic protein	protein-coding
1-5972	chr19	45954084	45954497	+	0	NA	promoter-TSS (NM_001369417)	promoter-TSS (NM_001369417)	-266	NM_001369417	2067	Hs.435981	NM_001983	ENSG00000012061	ERCC1	COFS4|RAD10|UV20	ERCC excision repair 1, endonuclease non-catalytic subunit	protein-coding
1-4878	chr16	52102282	52102695	+	0	NA	intron (NM_001242473, intron 1 of 5)	intron (NM_001242473, intron 1 of 5)	5359	NM_001242473	388276	Hs.534669	NM_001242473		C16orf97	-	chromosome 16 open reading frame 97	protein-coding
1-5406	chr16	74203700	74204113	+	0	NA	Intergenic	Intergenic	45514	NR_104657	101928035	Hs.39557	NR_104657	ENSG00000261404	LOC101928035	-	uncharacterized LOC101928035	ncRNA
1-6514	chr14	100584273	100584686	+	0	NA	intron (NM_016337, intron 3 of 13)	intron (NM_016337, intron 3 of 13)	8487	NR_029888	442909		NR_029888	ENSG00000199082	MIR342	MIRN342|hsa-mir-342	microRNA 342	ncRNA
1-6900	chr10	17686006	17686419	+	0	NA	promoter-TSS (NM_003473)	promoter-TSS (NM_003473)	62	NM_001324283	8027	Hs.335391	NM_003473	ENSG00000136738	STAM	STAM-1|STAM1	signal transducing adaptor molecule	protein-coding
1-7369	chr7	94139895	94140308	+	0	NA	intron (NM_001363428, intron 1 of 17)	intron (NM_001363428, intron 1 of 17)	980	NM_022900	64921	Hs.260041	NM_022900	ENSG00000127995	CASD1	C7orf12|NBLA04196|SOAT	CAS1 domain containing 1	protein-coding
1-1421	chr8	41997759	41998172	+	0	NA	Intergenic	CpG	-12499	NM_001134296	10947	Hs.654529	NM_006803	ENSG00000070718	AP3M2	AP47B|CLA20|P47B	adaptor related protein complex 3 subunit mu 2	protein-coding
1-5772	chr9	35673430	35673843	+	0	NA	promoter-TSS (NM_001216)	promoter-TSS (NM_001216)	-289	NM_001216	768	Hs.63287	NM_001216	ENSG00000107159	CA9	CAIX|MN	carbonic anhydrase 9	protein-coding
1-4996	chr1	9653290	9653703	+	0	NA	intron (NM_001130924, intron 1 of 10)	intron (NM_001130924, intron 1 of 10)	4527	NM_001130924	199953	Hs.632365	NM_001010866	ENSG00000188807	TMEM201	Ima1|NET5|SAMP1	transmembrane protein 201	protein-coding
1-7050	chr19	14896010	14896423	+	0	NA	Intergenic	Intergenic	-6844	NM_013447	30817	Hs.531619	NM_013447	ENSG00000127507	ADGRE2	CD312|CD97|EMR2|VBU	adhesion G protein-coupled receptor E2	protein-coding
1-2434	chr8	145697619	145698032	+	0	NA	TTS (NM_003923)	TTS (NM_003923)	3407	NM_003923	8928	Hs.708365	NM_003923	ENSG00000160973	FOXH1	FAST-1|FAST1	forkhead box H1	protein-coding
1-2037	chr7	99869580	99869993	+	0	NA	promoter-TSS (NM_178831)	promoter-TSS (NM_178831)	42	NR_028038	352954	Hs.556063	NM_178831	ENSG00000239521	CASTOR3	GATS|STAG3OS	CASTOR family member 3	protein-coding
1-2493	chr16	3208590	3209003	+	0	NA	Intergenic	CpG	14504	NR_132322	197350	Hs.434132	NR_132322	ENSG00000228146	CASP16P	CASP16	caspase 16, pseudogene	pseudo
1-5080	chr2	173913814	173914227	+	0	NA	intron (NM_001282900, intron 26 of 26)	intron (NM_001282900, intron 26 of 26)	-26554	NM_016653	51776	Hs.444451	NM_016653	ENSG00000091436	MAP3K20	AZK|CNM6|MLK7|MLT|MLTK|MLTKalpha|MLTKbeta|MRK|SFMMP|ZAK|mlklak|pk	mitogen-activated protein kinase kinase kinase 20	protein-coding
1-4654	chr6	37019362	37019775	+	0	NA	Intergenic	Intergenic	46137	NM_173558	221472	Hs.509664	NM_173558	ENSG00000146192	FGD2	ZFYVE4	FYVE, RhoGEF and PH domain containing 2	protein-coding
1-6107	chr2	65810157	65810570	+	0	NA	Intergenic	LTR79|LTR|ERVL	-150630	NM_181784	200734	Hs.59332	NM_181784	ENSG00000198369	SPRED2	Spred-2	sprouty related EVH1 domain containing 2	protein-coding
1-2123	chr18	3593954	3594367	+	0	NA	promoter-TSS (NR_024101)	promoter-TSS (NR_024101)	48	NR_024101	649446	Hs.19872	NM_001039796		DLGAP1-AS1	HsT914	DLGAP1 antisense RNA 1	ncRNA
1-2362	chr2	74941735	74942148	+	0	NA	Intergenic	Intergenic	60567	NR_073398	10505	Hs.25887	NM_004263	ENSG00000135622	SEMA4F	M-SEMA|PRO2353|S4F|SEMAM|SEMAW|m-Sema-M	ssemaphorin 4F	protein-coding
1-1813	chr22	23455150	23455563	+	0	NA	intron (NM_002073, intron 2 of 2)	intron (NM_002073, intron 2 of 2)	28821	NM_014433	27156	Hs.526920	NM_014433	ENSG00000100218	RSPH14	RTDR1	radial spoke head 14 homolog	protein-coding
1-2224	chr7	2557738	2558151	+	0	NA	intron (NM_002304, intron 1 of 8)	intron (NM_002304, intron 1 of 8)	447	NM_002304	3955	Hs.159142	NM_002304	ENSG00000106003	LFNG	SCDO3	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding
1-5654	chr4	75236626	75237039	+	0	NA	intron (NM_001432, intron 1 of 4)	intron (NM_001432, intron 1 of 4)	5970	NM_001432	2069	Hs.115263	NM_001432	ENSG00000124882	EREG	EPR|ER|Ep	epiregulin	protein-coding
1-5163	chr6	21501166	21501579	+	0	NA	intron (NR_103790, intron 2 of 3)	intron (NR_103790, intron 2 of 3)	10751	NR_103790	100874531	Hs.112750	NR_103790	ENSG00000280989	LINC00581	linc-MBOAT1-4	long intergenic non-protein coding RNA 581	ncRNA
1-6036	chr1	33721195	33721608	+	0	NA	promoter-TSS (NM_152493)	promoter-TSS (NM_152493)	-692	NM_152493	149076	Hs.743358	NM_152493	ENSG00000160094	ZNF362	RN|lin-29	zinc finger protein 362	protein-coding
1-4244	chr8	144100689	144101102	+	0	NA	intron (NM_001127213, intron 1 of 3)	intron (NM_001127213, intron 1 of 3)	949	NM_002346	4061	Hs.521903	NM_002346	ENSG00000160932	LY6E	RIG-E|RIGE|SCA-2|SCA2|TSA-1	lymphocyte antigen 6 family member E	protein-coding
1-2132	chr19	16308071	16308484	+	0	NA	promoter-TSS (NM_032493)	promoter-TSS (NM_032493)	-445	NM_001130524	8907	Hs.71040	NM_032493	ENSG00000072958	AP1M1	AP47|CLAPM2|CLTNM|MU-1A	adaptor related protein complex 1 subunit mu 1	protein-coding
1-2014	chr4	143861733	143862146	+	0	NA	Intergenic	Intergenic	-94251	NM_001331040	8821	Hs.176376	NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
1-6793	chr5	37665880	37666293	+	0	NA	intron (NM_001345999, intron 9 of 16)	intron (NM_001345999, intron 9 of 16)	168838	NM_001278098	2668	Hs.248114	NM_000514	ENSG00000168621	GDNF	ATF|ATF1|ATF2|HFB1-GDNF|HSCR3	glial cell derived neurotrophic factor	protein-coding
1-3985	chr19	374609	375022	+	0	NA	intron (NM_199202, intron 1 of 6)	L2c|LINE|L2	1211	NM_199202	51298	Hs.250002	NM_016585	ENSG00000105549	THEG	CT56|THEG1	theg spermatid protein	protein-coding
1-4482	chr22	22741609	22742022	+	0	NA	Intergenic	LTR22|LTR|ERVK	89352	NR_027293	96610	Hs.449601	NM_080926		BMS1P20	IGL|IGLV|IGLV1	BMS1 pseudogene 20	pseudo
1-6754	chr3	61655278	61655691	+	0	NA	intron (NM_002841, intron 1 of 29)	intron (NM_002841, intron 1 of 29)	108239	NM_002841	5793	Hs.595541	NM_002841	ENSG00000144724	PTPRG	HPTPG|PTPG|R-PTP-GAMMA|RPTPG	protein tyrosine phosphatase receptor type G	protein-coding
1-1633	chr10	105599627	105600040	+	0	NA	intron (NM_014631, intron 1 of 13)	intron (NM_014631, intron 1 of 13)	15331	NM_014631	9644	Hs.678727	NM_014631	ENSG00000107957	SH3PXD2A	FISH|SH3MD1|TKS5	SH3 and PX domains 2A	protein-coding
1-1140	chr14	105263978	105264391	+	0	NA	Intergenic	Intergenic	-2099	NM_001014431	207	Hs.525622	NM_005163	ENSG00000142208	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	AKT serine/threonine kinase 1	protein-coding
1-6868	chr8	27812593	27813006	+	0	NA	intron (NM_173833, intron 3 of 8)	intron (NM_173833, intron 3 of 8)	37391	NM_173833	286133	Hs.591833	NM_173833	ENSG00000168079	SCARA5	NET33|Tesr	scavenger receptor class A member 5	protein-coding
1-5533	chr1	22303191	22303604	+	0	NA	promoter-TSS (NM_007352)	promoter-TSS (NM_007352)	-118	NM_007352	23436	Hs.728752	NM_007352	ENSG00000219073	CELA3B	CBPP|ELA3B	chymotrypsin like elastase 3B	protein-coding
1-847	chr16	83847904	83848317	+	0	NA	3' UTR (NM_001537, exon 4 of 4)	3' UTR (NM_001537, exon 4 of 4)	6527	NM_001537	3281	Hs.250899	NM_001537	ENSG00000230989	HSBP1	NPC-A-13	heat shock factor binding protein 1	protein-coding
1-4862	chr15	92470003	92470416	+	0	NA	intron (NR_135775, intron 2 of 10)	intron (NR_135775, intron 2 of 10)	72675	NR_135775	28232	Hs.311187	NM_013272	ENSG00000176463	SLCO3A1	OATP-D|OATP-RP3|OATP3A1|OATPD|OATPRP3|SLC21A11	solute carrier organic anion transporter family member 3A1	protein-coding
1-577	chr6	43234484	43234897	+	0	NA	intron (NM_032538, intron 13 of 14)	intron (NM_032538, intron 13 of 14)	23471	NM_032538	84630	Hs.485436	NM_032538	ENSG00000146216	TTBK1	BDTK	tau tubulin kinase 1	protein-coding
1-3587	chr17	39257938	39258351	+	0	NA	intron (NM_001322457, intron 1 of 1)	(CAG)n|Simple_repeat|Simple_repeat	-3497	NM_001146041	100132386	Hs.307018	NM_001146041	ENSG00000212722	KRTAP4-9	KAP4.9	keratin associated protein 4-9	protein-coding
1-2882	chr7	36327323	36327736	+	0	NA	intron (NM_030636, intron 6 of 7)	intron (NM_030636, intron 6 of 7)	79320	NM_015314	23366	Hs.6224	NM_015314	ENSG00000164542	KIAA0895	-	KIAA0895	protein-coding
1-442	chr1	27240462	27240875	+	0	NA	promoter-TSS (NM_021969)	promoter-TSS (NM_021969)	-202	NM_021969	8431	Hs.427055	NM_021969	ENSG00000131910	NR0B2	SHP|SHP1	nuclear receptor subfamily 0 group B member 2	protein-coding
1-5443	chr17	75358191	75358604	+	0	NA	intron (NM_006640, intron 1 of 10)	intron (NM_006640, intron 1 of 10)	-11022	NM_001113493	10801	Hs.440932	NM_006640	ENSG00000184640	SEPTIN9	AF17q25|MSF|MSF1|NAPB|PNUTL4|SEPT9|SINT1|SeptD1	septin 9	protein-coding
1-6710	chr2	10899227	10899640	+	0	NA	intron (NM_001039362, intron 4 of 13)	intron (NM_001039362, intron 4 of 13)	37677	NM_001039362	245973	Hs.580464	NM_144583	ENSG00000143882	ATP6V1C2	ATP6C2|VMA5	ATPase H+ transporting V1 subunit C2	protein-coding
1-6294	chr7	44788421	44788834	+	0	NA	intron (NM_031449, intron 1 of 18)	intron (NM_031449, intron 1 of 18)	181	NM_031449	83637	Hs.77978	NM_031449	ENSG00000122515	ZMIZ2	NET27|TRAFIP20|ZIMP7|hZIMP7	zinc finger MIZ-type containing 2	protein-coding
1-6634	chr21	35404171	35404584	+	0	NA	Intergenic	Intergenic	-41501	NM_032476	64968	Hs.302742	NM_032476	ENSG00000243927	MRPS6	C21orf101|MRP-S6|RPMS6|S6mt	mitochondrial ribosomal protein S6	protein-coding
1-3220	chr12	118407052	118407465	+	0	NA	promoter-TSS (NM_173598)	promoter-TSS (NM_173598)	-463	NM_173598	283455	Hs.375836	NM_173598	ENSG00000171435	KSR2	-	kinase suppressor of ras 2	protein-coding
1-88	chr15	93160771	93161184	+	0	NA	3' UTR (NM_207446, exon 3 of 3)	3' UTR (NM_207446, exon 3 of 3)	38028	NM_207446	400451	Hs.27373	NM_207446	ENSG00000185442	FAM174B	-	family with sequence similarity 174 member B	protein-coding
1-2559	chr1	26799530	26799943	+	0	NA	intron (NM_005517, intron 1 of 5)	CpG	805	NM_005517	3151	Hs.181163	NM_005517	ENSG00000198830	HMGN2	HMG17	high mobility group nucleosomal binding domain 2	protein-coding
1-7557	chr15	23096938	23097351	+	0	NA	intron (NR_040057, intron 4 of 4)	intron (NR_040057, intron 4 of 4)	-10301	NM_001142275	123606	Hs.511797	NM_144599	ENSG00000170113	NIPA1	FSP3|SLC57A1|SPG6	NIPA magnesium transporter 1	protein-coding
1-7508	chr12	45525377	45525790	+	0	NA	Intergenic	Intergenic	-66389	NR_026583	83956	Hs.650500	NM_032032		RACGAP1P	FKSG42	Rac GTPase activating protein 1 pseudogene	pseudo
1-2372	chr3	30700806	30701219	+	0	NA	intron (NM_001024847, intron 4 of 7)	intron (NM_001024847, intron 4 of 7)	52919	NM_003242	7048	Hs.82028	NM_003242	ENSG00000163513	TGFBR2	AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TBR-ii|TBRII|TGFR-2|TGFbeta-RII	transforming growth factor beta receptor 2	protein-coding
1-7746	chr6	122966453	122966866	+	0	NA	intron (NM_032471, intron 2 of 3)	intron (NM_032471, intron 2 of 3)	-7215	NM_001270395	5570	Hs.741340	NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding
1-3311	chr22	35914207	35914620	+	0	NA	Intergenic	Intergenic	-22128	NM_001366725	23551	Hs.474711	NM_014310	ENSG00000100302	RASD2	Rhes|TEM2	RASD family member 2	protein-coding
1-4870	chr16	15905900	15906313	+	0	NA	intron (NM_001040113, intron 3 of 42)	MIRb|SINE|MIR	44779	NM_001040113	4629	Hs.460109	NM_002474	ENSG00000133392	MYH11	AAT4|FAA4|SMHC|SMMHC	myosin heavy chain 11	protein-coding
1-5081	chr2	189460732	189461145	+	0	NA	TTS (NM_001252668)	TTS (NM_001252668)	193912	NR_161166	116093	Hs.470892	NM_052952	ENSG00000174325	DIRC1	-	disrupted in renal carcinoma 1	ncRNA
1-3810	chr8	17103814	17104227	+	0	NA	promoter-TSS (NM_152415)	promoter-TSS (NM_152415)	-53	NM_001322089	29883	Hs.587465	NM_013354	ENSG00000198791	CNOT7	CAF-1|CAF1|Caf1a|hCAF-1	CCR4-NOT transcription complex subunit 7	protein-coding
1-2168	chr1	154323881	154324294	+	0	NA	TTS (NM_001367934)	TTS (NM_001367934)	22813	NM_001367934	57198	Hs.435700	NM_020452	ENSG00000143515	ATP8B2	ATPID	ATPase phospholipid transporting 8B2	protein-coding
1-7386	chr8	16859135	16859548	+	0	NA	exon (NM_019851, exon 1 of 3)	exon (NM_019851, exon 1 of 3)	513	NM_019851	26281	Hs.199905	NM_019851	ENSG00000078579	FGF20	FGF-20|RHDA2	fibroblast growth factor 20	protein-coding
1-479	chr19	18744127	18744540	+	0	NA	Intergenic	Intergenic	-3505	NM_001345985	55295	Hs.250632	NM_018316	ENSG00000167487	KLHL26	-	kelch like family member 26	protein-coding
1-6066	chr1	156441864	156442277	+	0	NA	intron (NM_001271629, intron 8 of 10)	MIR3|SINE|MIR	18409	NM_001271629	4209	Hs.314327	NM_005920	ENSG00000116604	MEF2D	-	myocyte enhancer factor 2D	protein-coding
1-6482	chr13	45229727	45230140	+	0	NA	intron (NR_149082, intron 2 of 3)	intron (NR_149082, intron 2 of 3)	15428	NR_149082	106144541	Hs.578031	NR_149082		LINC00407	-	long intergenic non-protein coding RNA 407	ncRNA
1-5239	chr9	130785174	130785587	+	0	NA	Intergenic	MLT1J1|LTR|ERVL-MaLR	-42112	NM_001035254	399665	Hs.535972	NM_203305	ENSG00000167106	FAM102A	C9orf132|EEIG1|SYM-3A|bA203J24.7	family with sequence similarity 102 member A	protein-coding
1-1095	chr1	16343926	16344339	+	0	NA	intron (NM_001349689, intron 1 of 2)	intron (NM_001349689, intron 1 of 2)	1153	NM_001349686	27129	Hs.502612	NM_014424	ENSG00000173641	HSPB7	cvHSP	heat shock protein family B (small) member 7	protein-coding
1-1717	chr5	175843493	175843906	+	0	NA	promoter-TSS (NM_001364127)	promoter-TSS (NM_001364127)	-129	NR_045724	1212	Hs.484241	NM_001834	ENSG00000175416	CLTB	LCB	clathrin light chain B	protein-coding
1-1226	chr12	6130141	6130554	+	0	NA	intron (NM_000552, intron 27 of 51)	intron (NM_000552, intron 27 of 51)	19002	NR_145989	109729112		NR_145989		SNORA120	-	small nucleolar RNA, H/ACA box 120	snoRNA
1-4796	chr11	118308253	118308666	+	0	NA	intron (NM_005933, intron 1 of 35)	intron (NM_005933, intron 1 of 35)	1252	NM_005933	4297	Hs.258855	NM_005933	ENSG00000118058	KMT2A	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL1|MLL1A|TRX1|WDSTS	lysine methyltransferase 2A	protein-coding
1-6909	chr10	120352463	120352876	+	0	NA	3' UTR (NM_004248, exon 2 of 2)	3' UTR (NM_004248, exon 2 of 2)	2491	NM_004248	2834	Hs.248119	NM_004248	ENSG00000119973	PRLHR	GPR10|GR3|PrRPR	prolactin releasing hormone receptor	protein-coding
1-5890	chr15	57886989	57887402	+	0	NA	intron (NM_001018100, intron 1 of 12)	intron (NM_001018100, intron 1 of 12)	3093	NM_001018100	100820829	Hs.437256	NM_152451	ENSG00000263155	MYZAP	GCOM1|Gup|MYOZAP	myocardial zonula adherens protein	protein-coding
1-6636	chr21	38737970	38738383	+	0	NA	promoter-TSS (NM_001347722)	promoter-TSS (NM_001347722)	-199	NM_001347722	1859	Hs.368240	NM_001396	ENSG00000157540	DYRK1A	DYRK|DYRK1|HP86|MNB|MNBH|MRD7	dual specificity tyrosine phosphorylation regulated kinase 1A	protein-coding
1-7651	chr19	51270701	51271114	+	0	NA	Intergenic	AluSx3|SINE|Alu	-2814	NM_001506	2854	Hs.515555	NM_001506	ENSG00000142511	GPR32	RVDR1	G protein-coupled receptor 32	protein-coding
1-4419	chr17	62242006	62242419	+	0	NA	intron (NM_018469, intron 7 of 11)	intron (NM_018469, intron 7 of 11)	18513	NR_002995	677842	Hs.405444	NR_002995	ENSG00000277887	SNORA50C	ACA62|SNORA76|SNORA76C	small nucleolar RNA, H/ACA box 50C	snoRNA
1-1193	chr6	43667665	43668078	+	0	NA	Intergenic	Intergenic	-12322	NM_001193343	55168	Hs.520149	NM_018135	ENSG00000096080	MRPS18A	HumanS18b|MRP-S18-3|MRP-S18-a|MRPS18-3|S18bmt|S18mt-a	mitochondrial ribosomal protein S18A	protein-coding
1-4110	chr2	131631253	131631666	+	0	NA	intron (NM_001367493, intron 1 of 13)	intron (NM_001367493, intron 1 of 13)	36972	NM_001367493	50649	Hs.469935	NM_015320	ENSG00000136002	ARHGEF4	ASEF|ASEF1|GEF4|SMIM39|STM6	Rho guanine nucleotide exchange factor 4	protein-coding
1-1559	chr19	15234541	15234954	+	0	NA	intron (NM_006844, intron 2 of 15)	intron (NM_006844, intron 2 of 15)	1850	NM_006844	10994	Hs.78880	NM_006844	ENSG00000105135	ILVBL	209L8|AHAS|HACL1L|ILV2H	ilvB acetolactate synthase like	protein-coding
1-1913	chr12	96231908	96232321	+	0	NA	intron (NR_135014, intron 1 of 2)	MER50|LTR|ERV1	20503	NR_135014	105369921	Hs.125549	NR_135014	ENSG00000258343	LOC105369921	-	uncharacterized LOC105369921	ncRNA
1-4799	chr12	3409117	3409530	+	0	NA	non-coding (NR_148995, exon 10 of 12)	non-coding (NR_148995, exon 10 of 12)	65965	NR_148995	100128253	Hs.447497	NR_148995		LOC100128253	-	uncharacterized LOC100128253	ncRNA
1-5775	chr9	91003212	91003625	+	0	NA	promoter-TSS (NM_006717)	promoter-TSS (NM_006717)	59	NM_006717	10927	Hs.146804	NM_006717	ENSG00000106723	SPIN1	SPIN|TDRD24	spindlin 1	protein-coding
1-2432	chr8	140887867	140888280	+	0	NA	intron (NM_001160372, intron 21 of 22)	intron (NM_001160372, intron 21 of 22)	-172707	NR_104210	51305	Hs.493037	NM_001282534	ENSG00000169427	KCNK9	K2p9.1|KT3.2|TASK-3|TASK3	potassium two pore domain channel subfamily K member 9	protein-coding
1-4989	chr1	1307281	1307694	+	0	NA	Intergenic	Intergenic	3100	NM_001127229	54998	Hs.632515	NM_017900	ENSG00000175756	AURKAIP1	AIP|AKIP|MRP-S38	aurora kinase A interacting protein 1	protein-coding
1-3630	chr21	45153398	45153811	+	0	NA	intron (NM_003681, intron 1 of 10)	intron (NM_003681, intron 1 of 10)	-7763	NM_001331030	8566	Hs.284491	NM_003681	ENSG00000160209	PDXK	C21orf124|C21orf97|HEL-S-1a|PKH|PNK|PRED79	pyridoxal kinase	protein-coding
1-5185	chr6	160754808	160755221	+	0	NA	Intergenic	Intergenic	-14396	NM_021977	6581	Hs.567337	NM_021977	ENSG00000146477	SLC22A3	EMT|EMTH|OCT3	solute carrier family 22 member 3	protein-coding
1-4212	chr7	45925150	45925563	+	0	NA	Intergenic	L2b|LINE|L2	-2731	NM_000596	3484	Hs.642938	NM_000596	ENSG00000146678	IGFBP1	AFBP|IBP1|IGF-BP25|PP12|hIGFBP-1	insulin like growth factor binding protein 1	protein-coding
1-1282	chr2	189191383	189191796	+	0	NA	intron (NR_045563, intron 2 of 12)	intron (NR_045563, intron 2 of 12)	29370	NR_030287	693146		NR_030287	ENSG00000207951	MIR561	MIRN561|hsa-mir-561|mir-561	microRNA 561	ncRNA
1-1119	chr6	170604992	170605405	+	0	NA	intron (NM_001286380, intron 1 of 10)	CpG	789	NM_001286380	84498	Hs.369522	NM_032448	ENSG00000112584	FAM120B	CCPG|KIAA1838|PGCC1|SAN1|dJ894D12.1	family with sequence similarity 120B	protein-coding
1-6595	chr17	78627533	78627946	+	0	NA	intron (NM_001163034, intron 3 of 29)	intron (NM_001163034, intron 3 of 29)	109101	NM_020761	57521	Hs.133044	NM_020761	ENSG00000141564	RPTOR	KOG1|Mip1	regulatory associated protein of MTOR complex 1	protein-coding
1-3021	chr20	44546924	44547337	+	0	NA	Intergenic	Intergenic	-6127	NM_001242920	5360	Hs.439312	NM_006227	ENSG00000100979	PLTP	BPIFE|HDLCQ9	phospholipid transfer protein	protein-coding
