PeakID (cmd=annotatePeaks.pl 09-17ngn3_30M_peaksfdr0.05.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr9-1082	chr9	96286119	96286351	+	3.23	0.750	intron (NM_014612, intron 7 of 17)	intron (NM_014612, intron 7 of 17)	-52674	NM_005392	5253	Hs.211441	NM_005392	ENSG00000197724	PHF2	CENP-35|GRC5|JHDM1E|KDM7C	PHD finger protein 2	protein-coding
chr12-1171	chr12	58606040	58606272	+	3.23	0.615	Intergenic	(TG)n|Simple_repeat|Simple_repeat	124481	NR_135022	105369785	Hs.539353	NR_135022	ENSG00000257541	LINC02403	-	long intergenic non-protein coding RNA 2403	ncRNA
chr16-1507	chr16	78311390	78311622	+	3.23	0.739	intron (NM_016373, intron 5 of 8)	intron (NM_016373, intron 5 of 8)	178196	NM_001291997	51741	Hs.461453	NM_016373	ENSG00000186153	WWOX	D16S432E|EIEE28|FOR|FRA16D|HHCMA56|PRO0128|SCAR12|SDR41C1|WOX1	WW domain containing oxidoreductase	protein-coding
chr12-1027	chr12	119801367	119801599	+	3.23	0.787	intron (NM_178499, intron 1 of 13)	L1ME3|LINE|L1	28966	NM_178499	160777	Hs.98188	NM_178499	ENSG00000183273	CCDC60	-	coiled-coil domain containing 60	protein-coding
chr1-2286	chr1	82269232	82269464	+	3.23	0.696	intron (NM_001350698, intron 1 of 22)	intron (NM_001350698, intron 1 of 22)	2726	NM_001350698	23266	Hs.24212	NM_012302	ENSG00000117114	ADGRL2	CIRL2|CL2|LEC1|LPHH1|LPHN2	adhesion G protein-coupled receptor L2	protein-coding
chr2-1986	chr2	160163658	160163890	+	3.23	0.770	Intergenic	AluSc|SINE|Alu	-20464	NM_001330276	151525	Hs.20848	NM_152528	ENSG00000196151	WDSUB1	UBOX6|WDSAM1	WD repeat, sterile alpha motif and U-box domain containing 1	protein-coding
chr5-1184	chr5	112630559	112630791	+	3.23	0.725	promoter-TSS (NM_002387)	promoter-TSS (NM_002387)	-63	NM_002387	4163	Hs.593171	NM_002387	ENSG00000171444	MCC	MCC1	mutated in colorectal cancers	protein-coding
chr13-556	chr13	22245271	22245503	+	3.23	0.716	5' UTR (NM_002010, exon 1 of 3)	5' UTR (NM_002010, exon 1 of 3)	172	NM_002010	2254	Hs.111	NM_002010	ENSG00000102678	FGF9	FGF-9|GAF|HBFG-9|HBGF-9|SYNS3	fibroblast growth factor 9	protein-coding
chr17-933	chr17	79461955	79462187	+	3.23	0.701	Intergenic	Intergenic	17754	NM_001614	71	Hs.514581	NM_001614	ENSG00000184009	ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	actin gamma 1	protein-coding
chr6-1541	chr6	53267689	53267921	+	3.23	0.766	Intergenic	L1PA4|LINE|L1	-53828	NM_021814	60481	Hs.520189	NM_021814	ENSG00000012660	ELOVL5	HELO1|SCA38|dJ483K16.1	ELOVL fatty acid elongase 5	protein-coding
chr2-1899	chr2	55315047	55315279	+	3.23	0.719	intron (NM_001321904, intron 1 of 9)	intron (NM_001321904, intron 1 of 9)	-37210	NM_001321859	57142	Hs.637850	NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NSP|NSP-CL|Nbla00271|Nbla10545|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
chr9-1095	chr9	115582138	115582370	+	3.23	0.788	intron (NM_001012994, intron 3 of 8)	L1MC3|LINE|L1	69120	NM_001012994	401548	Hs.522350	NM_001012994	ENSG00000148158	SNX30	ATG24A	sorting nexin family member 30	protein-coding
chr14-823	chr14	79459301	79459533	+	3.23	0.758	intron (NM_004796, intron 12 of 16)	intron (NM_004796, intron 12 of 16)	-206908	NR_135159	105370586		NR_135159	ENSG00000258419	LOC105370586	-	uncharacterized LOC105370586	ncRNA
chr2-2143	chr2	215168910	215169142	+	3.23	0.685	intron (NM_024532, intron 15 of 15)	MER9a2|LTR|ERVK	-107266	NM_001080500	402117	Hs.534834	NM_001080500	ENSG00000174453	VWC2L	-	von Willebrand factor C domain containing protein 2 like	protein-coding
chr2-2081	chr2	227234271	227234503	+	3.23	0.716	Intergenic	Intergenic	226877	NR_046102	646736	Hs.712836	NR_046102		LOC646736	-	uncharacterized LOC646736	ncRNA
chr10-1177	chr10	19385379	19385611	+	3.23	0.707	intron (NM_001142308, intron 4 of 39)	intron (NM_001142308, intron 4 of 39)	47795	NM_001142308	340895	Hs.646734	NM_001142308	ENSG00000204740	MALRD1	C10orf112|DIET1|bA265G8.2	MAM and LDL receptor class A domain containing 1	protein-coding
chrX-191	chrX	99914574	99914806	+	3.23	0.800	intron (NM_014467, intron 3 of 10)	intron (NM_014467, intron 3 of 10)	15527	NM_014467	27286	Hs.306339	NM_014467	ENSG00000102359	SRPX2	BPP|CBPS|PMGX|RESDX|SRPUL	sushi repeat containing protein, X-linked 2	protein-coding
chr1-2464	chr1	27668636	27668868	+	3.23	0.703	intron (NM_001193308, intron 1 of 14)	intron (NM_001193308, intron 1 of 14)	269	NM_032872	84958	Hs.469175	NM_032872	ENSG00000142765	SYTL1	JFC1|SLP1	synaptotagmin like 1	protein-coding
chr1-2452	chr1	100818054	100818286	+	3.23	0.738	5' UTR (NM_033313, exon 1 of 11)	5' UTR (NM_033313, exon 1 of 11)	147	NM_033312	8556	Hs.127411	NM_003672	ENSG00000079335	CDC14A	DFNB105|cdc14|hCDC14	cell division cycle 14A	protein-coding
chr11-1109	chr11	76102151	76102383	+	3.23	0.727	intron (NM_001347884, intron 1 of 1)	intron (NM_001347884, intron 1 of 1)	9920	NM_001305225	100506127	Hs.503319	NM_001013634	ENSG00000179240	GVQW3	-	GVQW motif containing 3	protein-coding
chr10-1316	chr10	28671679	28671911	+	3.23	0.806	Intergenic	Intergenic	-79800	NR_134517	143098	Hs.499159	NM_173496	ENSG00000150054	MPP7	-	membrane palmitoylated protein 7	protein-coding
chr18-552	chr18	10330290	10330522	+	3.23	0.658	Intergenic	Intergenic	83961	NR_110775	101927350	Hs.572523	NR_110775	ENSG00000260913	LINC01254	-	long intergenic non-protein coding RNA 1254	ncRNA
chr9-1106	chr9	111776052	111776284	+	3.23	0.827	promoter-TSS (NM_003798)	promoter-TSS (NM_003798)	-294	NM_001286974	8727	Hs.58488	NM_003798	ENSG00000119326	CTNNAL1	ACRP|CLLP|alpha-CATU	catenin alpha like 1	protein-coding
chr14-782	chr14	23771144	23771376	+	3.23	0.849	intron (NM_001276318, intron 1 of 4)	CpG	797	NM_001276318	90673	Hs.601513	NM_001276318	ENSG00000235194	PPP1R3E	-	protein phosphatase 1 regulatory subunit 3E	protein-coding
chr11-1239	chr11	112885610	112885842	+	3.23	0.694	intron (NM_000615, intron 2 of 18)	MLT1M|LTR|ERVL-MaLR	-51544	NR_120563	101928847	Hs.711235	NR_120563	ENSG00000247416	LOC101928847	-	uncharacterized LOC101928847	ncRNA
chr2-1971	chr2	43496205	43496437	+	3.23	0.667	intron (NM_001345924, intron 36 of 37)	intron (NM_001345924, intron 36 of 37)	41971	NR_027251	100129726	Hs.194480	NM_178529	ENSG00000279873	LINC01126	-	long intergenic non-protein coding RNA 1126	ncRNA
chr1-2287	chr1	219253831	219254063	+	3.23	0.688	TTS (NR_038845)	TTS (NR_038845)	93183	NR_038845	643723	Hs.519774	NR_038845		LYPLAL1-DT	LYPLAL1-AS1	LYPLAL1 divergent transcript	ncRNA
chr13-624	chr13	31019828	31020060	+	3.23	0.703	Intergenic	CpG	18520	NM_001313892	3146	Hs.434102	NM_002128	ENSG00000189403	HMGB1	HMG-1|HMG1|HMG3|SBP-1	high mobility group box 1	protein-coding
chr1-2699	chr1	162163090	162163322	+	3.23	0.667	intron (NM_014697, intron 2 of 9)	intron (NM_014697, intron 2 of 9)	36309	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA
chr20-723	chr20	61024023	61024255	+	3.23	0.758	Intergenic	Intergenic	-21510	NM_080833	140893	Hs.180374	NM_080833	ENSG00000130701	RBBP8NL	C20orf151	RBBP8 N-terminal like	protein-coding
chr20-778	chr20	49594212	49594444	+	3.23	0.676	Intergenic	Intergenic	18977	NM_014484	27304	Hs.159410	NM_014484	ENSG00000124217	MOCS3	UBA4	molybdenum cofactor synthesis 3	protein-coding
chr2-2264	chr2	127160812	127161044	+	3.23	0.676	Intergenic	Intergenic	-252583	NM_002101	2995	Hs.59138	NM_002101	ENSG00000136732	GYPC	CD236|CD236R|GE|GE:GPC:GPD:GYPD|GPC|GPD|GYPD|PAS-2|PAS-2'	glycophorin C (Gerbich blood group)	protein-coding
chr1-2361	chr1	233430998	233431230	+	3.23	0.750	exon (NM_014801, exon 1 of 34)	exon (NM_014801, exon 1 of 34)	345	NM_001328607	80003	Hs.370605	NM_014801	ENSG00000135749	PCNX2	PCNXL2	pecanex homolog 2	protein-coding
chr16-1529	chr16	84372898	84373130	+	3.23	0.730	Intergenic	Intergenic	-29115	NM_001286527	9914	Hs.6168	NM_014861	ENSG00000064270	ATP2C2	SPCA2	ATPase secretory pathway Ca2+ transporting 2	protein-coding
chr7-1214	chr7	10608528	10608760	+	3.23	0.742	intron (NR_147499, intron 1 of 2)	L2a|LINE|L2	-133659	NR_149037	100131472	Hs.170681	NR_149037		LOC100131472	-	uncharacterized LOC100131472	ncRNA
chr7-1245	chr7	91570897	91571129	+	3.23	0.703	intron (NM_005751, intron 1 of 49)	intron (NM_005751, intron 1 of 49)	824	NM_147185	10142	Hs.651221	NM_005751	ENSG00000127914	AKAP9	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	A-kinase anchoring protein 9	protein-coding
chr12-911	chr12	65563011	65563243	+	3.23	0.870	promoter-TSS (NM_001167614)	promoter-TSS (NM_001167614)	-224	NM_014319	23592	Hs.744150	NM_014319	ENSG00000174106	LEMD3	MAN1	LEM domain containing 3	protein-coding
chr6-1351	chr6	128640312	128640544	+	3.23	0.842	intron (NM_001291983, intron 2 of 18)	intron (NM_001291983, intron 2 of 18)	201391	NM_001291981	5796	Hs.155919	NM_002844	ENSG00000152894	PTPRK	R-PTP-kappa	protein tyrosine phosphatase, receptor type K	protein-coding
chr3-1472	chr3	39403956	39404188	+	3.23	0.696	Intergenic	L1PA10|LINE|L1	-20743	NM_017875	54977	Hs.369615	NM_017875	ENSG00000144659	SLC25A38	SIDBA2	solute carrier family 25 member 38	protein-coding
chr18-565	chr18	55734879	55735111	+	3.23	0.649	intron (NM_001144964, intron 1 of 30)	intron (NM_001144964, intron 1 of 30)	20537	NM_001144964	23327	Hs.185677	NM_015277	ENSG00000049759	NEDD4L	NEDD4-2|NEDD4.2|PVNH7|RSP5|hNEDD4-2	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	protein-coding
chr1-2501	chr1	230309097	230309329	+	3.23	0.734	intron (NM_004481, intron 1 of 15)	intron (NM_004481, intron 1 of 15)	106271	NM_004481	2590	Hs.743964	NM_004481	ENSG00000143641	GALNT2	GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
chr11-1291	chr11	57352802	57353034	+	3.23	0.612	Intergenic	tRNA-Gly-GGY|tRNA|tRNA	-12109	NM_000062	710	Hs.384598	NM_000062	ENSG00000149131	SERPING1	C1IN|C1INH|C1NH|HAE1|HAE2	serpin family G member 1	protein-coding
chrX-177	chrX	128225138	128225370	+	3.23	0.831	Intergenic	Intergenic	432228	NM_001282875	6594	Hs.152292	NM_003069	ENSG00000102038	SMARCA1	ISWI|NURF140|SNF2L|SNF2L1|SNF2LB|SNF2LT|SWI|SWI2|hSNF2L	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	protein-coding
chr2-2115	chr2	10443573	10443805	+	3.23	0.746	promoter-TSS (NM_134421)	promoter-TSS (NM_134421)	-137	NM_134421	3241	Hs.580427	NM_002149	ENSG00000115756	HPCAL1	BDR1|HLP2|VILIP-3	hippocalcin like 1	protein-coding
chr18-548	chr18	31291514	31291746	+	3.23	0.734	intron (NM_030632, intron 8 of 11)	intron (NM_030632, intron 8 of 11)	133089	NM_030632	80816	Hs.464876	NM_030632	ENSG00000141431	ASXL3	BRPS|KIAA1713	additional sex combs like 3, transcriptional regulator	protein-coding
chr17-944	chr17	56458735	56458967	+	3.23	0.723	intron (NM_017763, intron 2 of 9)	intron (NM_017763, intron 2 of 9)	21231	NM_001305545	54894	Hs.584916	NM_017763	ENSG00000108375	RNF43	RNF124|SSPCS|URCC	ring finger protein 43	protein-coding
chr7-1304	chr7	1021908	1022140	+	3.23	0.714	promoter-TSS (NM_017781)	promoter-TSS (NM_017781)	-811	NM_017781	54905	Hs.272795	NM_017781	ENSG00000073067	CYP2W1	-	cytochrome P450 family 2 subfamily W member 1	protein-coding
chr13-685	chr13	39934698	39934930	+	3.23	0.815	intron (NM_005780, intron 3 of 3)	intron (NM_005780, intron 3 of 3)	242542	NM_005780	10186	Hs.507798	NM_005780	ENSG00000183722	LHFPL6	LHFP	LHFPL tetraspan subfamily member 6	protein-coding
chr7-1351	chr7	79846779	79847011	+	3.23	0.770	3' UTR (NM_002069, exon 8 of 8)	3' UTR (NM_002069, exon 8 of 8)	81824	NM_001256414	2770	Hs.134587	NM_002069	ENSG00000127955	GNAI1	Gi	G protein subunit alpha i1	protein-coding
chrX-203	chrX	142394975	142395207	+	3.23	0.697	Intergenic	LTR22A|LTR|ERVK	210212	NM_001009609	139067	Hs.447320	NM_001009609	ENSG00000189252	SPANXN3	CT11.8|SPANX-N3	SPANX family member N3	protein-coding
chr2-1959	chr2	9325830	9326062	+	3.23	0.696	Intergenic	Intergenic	-20948	NM_003887	8853	Hs.555902	NM_003887	ENSG00000151693	ASAP2	AMAP2|CENTB3|DDEF2|PAG3|PAP|Pap-alpha|SHAG1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	protein-coding
chr8-1147	chr8	1562295	1562527	+	3.23	0.618	intron (NM_001346810, intron 6 of 14)	intron (NM_001346810, intron 6 of 14)	7419	NR_103863	100507435	Hs.667133	NR_103863	ENSG00000253267	DLGAP2-AS1	-	DLGAP2 antisense RNA 1	ncRNA
chr2-2262	chr2	79220116	79220348	+	3.23	0.750	Intergenic	CpG	-32580	NM_198448	130120	Hs.447084	NM_198448	ENSG00000143954	REG3G	LPPM429|PAP IB|PAP-1B|PAP1B|PAPIB|REG III|REG-III|UNQ429	regenerating family member 3 gamma	protein-coding
chr1-2204	chr1	164674399	164674631	+	3.23	0.773	intron (NM_001353131, intron 2 of 7)	intron (NM_001353131, intron 2 of 7)	69363	NR_038072	100505795	Hs.661039	NR_038072	ENSG00000233693	LOC100505795	-	uncharacterized LOC100505795	ncRNA
chr6-1621	chr6	47388107	47388339	+	3.23	0.730	Intergenic	Intergenic	-57302	NM_012120	23607	Hs.485518	NM_012120	ENSG00000198087	CD2AP	CMS	CD2 associated protein	protein-coding
chr18-504	chr18	8029198	8029430	+	3.23	0.696	intron (NM_001105244, intron 7 of 32)	L2b|LINE|L2	337718	NR_024419	100192426	Hs.666655	NR_024419	ENSG00000266149	LOC100192426	-	uncharacterized LOC100192426	ncRNA
chr12-1022	chr12	59478798	59479030	+	3.23	0.704	Intergenic	Intergenic	-164595	NM_153377	121227	Hs.253736	NM_153377	ENSG00000139263	LRIG3	LIG3	leucine rich repeats and immunoglobulin like domains 3	protein-coding
chrX-214	chrX	152912333	152912565	+	3.23	0.860	promoter-TSS (NM_001318503)	promoter-TSS (NM_001318503)	-208	NM_001318503	1852	Hs.144879	NM_001395	ENSG00000130829	DUSP9	MKP-4|MKP4	dual specificity phosphatase 9	protein-coding
chr12-1147	chr12	44997594	44997826	+	3.23	0.727	intron (NM_001145108, intron 15 of 19)	intron (NM_001145108, intron 15 of 19)	271734	NM_001145109	4753	Hs.505326	NM_006159	ENSG00000184613	NELL2	NRP2	neural EGFL like 2	protein-coding
chr2-2121	chr2	188412182	188412414	+	3.23	0.746	intron (NM_001329241, intron 1 of 8)	intron (NM_001329241, intron 1 of 8)	6934	NM_001329239	7035	Hs.516578	NM_006287	ENSG00000003436	TFPI	EPI|LACI|TFI|TFPI1	tissue factor pathway inhibitor	protein-coding
chr6-1538	chr6	62305803	62306035	+	3.23	0.719	intron (NR_146870, intron 14 of 15)	MER57A-int|LTR|ERV1	21911	NM_001190706	100463487		NM_001190706		MTRNR2L9	HN9	MT-RNR2 like 9	protein-coding
chr7-1367	chr7	11245908	11246140	+	3.23	0.742	Intergenic	Intergenic	232525	NR_033436	9678	Hs.655688	NM_014660	ENSG00000106443	PHF14	-	PHD finger protein 14	protein-coding
chr1-2507	chr1	68177597	68177829	+	3.23	0.804	intron (NM_018841, intron 2 of 3)	intron (NM_018841, intron 2 of 3)	26853	NM_001924	1647	Hs.80409	NM_001924	ENSG00000116717	GADD45A	DDIT1|GADD45	growth arrest and DNA damage inducible alpha	protein-coding
chr14-756	chr14	62544044	62544276	+	3.23	0.641	intron (NM_031914, intron 3 of 5)	intron (NM_031914, intron 3 of 5)	-39915	NR_015358	646113	Hs.445241	NM_001039785		LINC00643	-	long intergenic non-protein coding RNA 643	ncRNA
chr1-2505	chr1	172501899	172502131	+	3.23	0.800	promoter-TSS (NM_001282750)	promoter-TSS (NM_001282750)	-243	NM_014283	51430	Hs.204559	NM_014283	ENSG00000094975	SUCO	C1orf9|CH1|OPT|SLP1	SUN domain containing ossification factor	protein-coding
chr11-1250	chr11	20035349	20035581	+	3.23	0.700	intron (NM_001111018, intron 11 of 37)	MIR3|SINE|MIR	-8637	NM_001111019	89797	Hs.64341	NM_145117	ENSG00000166833	NAV2	HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2	neuron navigator 2	protein-coding
chr5-1249	chr5	66312431	66312663	+	3.23	0.742	intron (NM_001290227, intron 2 of 25)	intron (NM_001290227, intron 2 of 25)	12099	NM_001297651	375449	Hs.595458	NM_015183	ENSG00000069020	MAST4	-	microtubule associated serine/threonine kinase family member 4	protein-coding
chr7-1499	chr7	155129540	155129772	+	3.23	0.719	Intergenic	Intergenic	30972	NR_103545	338436	Hs.521326	NR_103545	ENSG00000204960	BLACE	-	B cell acute lymphoblastic leukemia expressed	ncRNA
chr17-991	chr17	65991376	65991608	+	3.23	0.772	Intergenic	Intergenic	-1727	NM_181655	284018	Hs.90790	NM_181655	ENSG00000186665	C17orf58	-	chromosome 17 open reading frame 58	protein-coding
chr19-616	chr19	1028381	1028613	+	3.23	0.701	intron (NM_001303499, intron 1 of 6)	CpG	2223	NM_201277	1265	Hs.651512	NM_004368	ENSG00000064666	CNN2	-	calponin 2	protein-coding
chr21-849	chr21	14718284	14718516	+	3.23	0.821	Intergenic	Intergenic	60381	NR_036164	100423018		NR_036164	ENSG00000266211	MIR3156-3	mir-3156-3	microRNA 3156-3	ncRNA
chr10-1181	chr10	97884486	97884718	+	3.15	0.735	Intergenic	L1M4c|LINE|L1	-4870	NM_014803	9849	Hs.600823	NM_014803	ENSG00000177853	ZNF518A	ZNF518	zinc finger protein 518A	protein-coding
chr9-1068	chr9	134311843	134312075	+	3.15	0.741	intron (NM_013318, intron 2 of 30)	intron (NM_013318, intron 2 of 30)	6482	NM_013318	84726	Hs.743955	NM_013318	ENSG00000130723	PRRC2B	BAT2L|BAT2L1|KIAA0515|LQFBS-1	proline rich coiled-coil 2B	protein-coding
chr15-778	chr15	73461697	73461929	+	3.15	0.762	intron (NM_001172624, intron 5 of 27)	intron (NM_001172624, intron 5 of 27)	116988	NM_001172623	4756	Hs.388613	NM_002499	ENSG00000067141	NEO1	IGDCC2|NGN|NTN1R2	neogenin 1	protein-coding
chr1-2755	chr1	80160688	80160920	+	3.15	0.703	Intergenic	LTR26B|LTR|ERV1	-688309	NM_022159	64123	Hs.132314	NM_022159	ENSG00000162618	ADGRL4	ELTD1|ETL|KPG_003	adhesion G protein-coupled receptor L4	protein-coding
chr1-2652	chr1	70827723	70827955	+	3.15	0.712	intron (NM_001036645, intron 1 of 2)	intron (NM_001036645, intron 1 of 2)	7346	NM_001036646	11147	Hs.142245	NM_007071	ENSG00000197568	HHLA3	-	HERV-H LTR-associating 3	protein-coding
chr5-1260	chr5	177357643	177357875	+	3.15	0.725	Intergenic	Intergenic	-8769	NR_149047	100128340	Hs.710582	NR_149047		LOC100128340	-	uncharacterized LOC100128340	ncRNA
chr6-1797	chr6	140596925	140597157	+	3.15	0.762	Intergenic	MIR|SINE|MIR	70652	NR_037441	100500879		NR_037441	ENSG00000263514	MIR3668	-	microRNA 3668	ncRNA
chr4-1504	chr4	36711587	36711819	+	3.15	0.647	Intergenic	Intergenic	-68181	NR_149124	105374400	Hs.570781	NR_149124	ENSG00000248215	LINC02505	-	long intergenic non-protein coding RNA 2505	ncRNA
chr11-1416	chr11	18934529	18934761	+	3.15	0.754	Intergenic	Intergenic	21904	NM_147199	259249	Hs.711459	NM_147199	ENSG00000170255	MRGPRX1	GPCR|MGRG2|MRGX1|SNSR4	MAS related GPR family member X1	protein-coding
chr4-1436	chr4	67842205	67842437	+	3.15	0.742	Intergenic	Intergenic	445397	NR_110747	101927237	Hs.435644	NR_110747	ENSG00000250075	LOC101927237	-	uncharacterized LOC101927237	ncRNA
chr8-1236	chr8	33371053	33371285	+	3.15	0.675	promoter-TSS (NM_025115)	promoter-TSS (NM_025115)	-459	NM_001330505	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
chr17-1143	chr17	10572260	10572492	+	3.15	0.807	Intergenic	MIRc|SINE|MIR	-11750	NM_002470	4621	Hs.440895	NM_002470	ENSG00000109063	MYH3	DA2A|DA2B|DA8|HEMHC|MYHC-EMB|MYHSE1|SMHCE	myosin heavy chain 3	protein-coding
chr6-1614	chr6	114242181	114242413	+	3.15	0.827	non-coding (NR_027060, exon 4 of 4)	non-coding (NR_027060, exon 4 of 4)	16746	NR_027060	285759	Hs.376634	NM_173673	ENSG00000175967	FLJ34503	-	uncharacterized FLJ34503	ncRNA
chr6-1514	chr6	102062474	102062706	+	3.15	0.804	intron (NM_175768, intron 1 of 16)	intron (NM_175768, intron 1 of 16)	215729	NM_021956	2898	Hs.98262	NM_021956	ENSG00000164418	GRIK2	EAA4|GLR6|GLUK6|GLUR6|GluK2|MRT6	glutamate ionotropic receptor kainate type subunit 2	protein-coding
chr7-1266	chr7	57179270	57179502	+	3.15	0.726	Intergenic	AluSp|SINE|Alu	28185	NM_033273	90827	Hs.616660	NM_033273	ENSG00000185177	ZNF479	HKr19|KR19	zinc finger protein 479	protein-coding
chr12-1035	chr12	16065084	16065316	+	3.15	0.746	intron (NM_001300779, intron 1 of 7)	SVA_E|Other|Other	1094	NM_001300779	51071	Hs.39429	NM_015954	ENSG00000023697	DERA	CGI-26|DEOC	deoxyribose-phosphate aldolase	protein-coding
chr4-1322	chr4	73433998	73434230	+	3.15	0.793	intron (NM_014243, intron 1 of 21)	CpG	402	NM_014243	9508	Hs.590919	NM_014243	ENSG00000156140	ADAMTS3	ADAMTS-4	ADAM metallopeptidase with thrombospondin type 1 motif 3	protein-coding
chr14-847	chr14	32420431	32420663	+	3.15	0.625	Intergenic	Intergenic	6488	NR_146544	105370439		NR_146544	ENSG00000258474	LINC02313	-	long intergenic non-protein coding RNA 2313	ncRNA
chrX-223	chrX	100860789	100861021	+	3.15	0.870	Intergenic	L1M7|LINE|L1	12086	NM_001009584	54470	Hs.83530	NM_019007	ENSG00000198960	ARMCX6	GASP10	armadillo repeat containing, X-linked 6	protein-coding
chr18-586	chr18	6650849	6651081	+	3.15	0.726	Intergenic	Intergenic	78896	NR_134645	101927168	Hs.242240	NR_134645		LOC101927168	-	uncharacterized LOC101927168	ncRNA
chr15-807	chr15	60883293	60883525	+	3.15	0.754	intron (NM_134260, intron 1 of 11)	CpG	1298	NM_134262	6095	Hs.560343	NM_002943	ENSG00000069667	RORA	NR1F1|ROR1|ROR2|ROR3|RZR-ALPHA|RZRA	RAR related orphan receptor A	protein-coding
chr2-2156	chr2	20643208	20643440	+	3.15	0.721	Intergenic	Intergenic	-3508	NM_004040	388	Hs.502876	NM_004040	ENSG00000143878	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	ras homolog family member B	protein-coding
chr17-1018	chr17	34901556	34901788	+	3.15	0.726	intron (NM_024835, intron 2 of 13)	GC_rich|Low_complexity|Low_complexity	935	NM_024835	79893	Hs.514116	NM_024835	ENSG00000278311	GGNBP2	DIF-3|DIF3|LCRG1|LZK1|ZFP403|ZNF403	gametogenetin binding protein 2	protein-coding
chr2-2063	chr2	193235664	193235896	+	3.15	0.723	Intergenic	Intergenic	-176121	NM_001305145	23671	Hs.144513	NM_016192	ENSG00000144339	TMEFF2	CT120.2|HPP1|TENB2|TPEF|TR|TR-2	transmembrane protein with EGF like and two follistatin like domains 2	protein-coding
chr14-881	chr14	50359326	50359558	+	3.15	0.723	promoter-TSS (NM_001663)	promoter-TSS (NM_001663)	-294	NM_001663	382	Hs.525330	NM_001663	ENSG00000165527	ARF6	-	ADP ribosylation factor 6	protein-coding
chr9-1179	chr9	85222397	85222629	+	3.15	0.804	Intergenic	Intergenic	455530	NM_152573	158158	Hs.129136	NM_152573	ENSG00000165105	RASEF	RAB45	RAS and EF-hand domain containing	protein-coding
chr18-536	chr18	9913628	9913860	+	3.15	0.746	promoter-TSS (NM_003574)	promoter-TSS (NM_003574)	-211	NM_194434	9218	Hs.165195	NM_003574	ENSG00000101558	VAPA	VAP-33|VAP-A|VAP33|hVAP-33	VAMP associated protein A	protein-coding
chr20-853	chr20	22318287	22318519	+	3.15	0.804	Intergenic	MER110|LTR|ERV1	-54964	NR_110615	101929663	Hs.143562	NR_110615	ENSG00000225321	LINC01427	-	long intergenic non-protein coding RNA 1427	ncRNA
chr21-893	chr21	31021761	31021993	+	3.15	0.714	intron (NM_000830, intron 6 of 16)	intron (NM_000830, intron 6 of 16)	53517	NR_033368	100379661	Hs.659368	NR_033368	ENSG00000156273	GRIK1-AS2	C21orf41|NCRNA00258	GRIK1 antisense RNA 2	ncRNA
chr8-1376	chr8	8890149	8890381	+	3.15	0.672	3' UTR (NM_153332, exon 7 of 7)	3' UTR (NM_153332, exon 7 of 7)	-15690	NR_039804	100616350		NR_039804	ENSG00000263407	MIR4660	-	microRNA 4660	ncRNA
chr20-792	chr20	39316063	39316295	+	3.15	0.782	3' UTR (NM_005461, exon 1 of 1)	3' UTR (NM_005461, exon 1 of 1)	1701	NM_005461	9935	Hs.169487	NM_005461	ENSG00000204103	MAFB	DURS3|KRML|MCTO	MAF bZIP transcription factor B	protein-coding
chrUn_gl000221-4	chrUn_gl000221	20353	20585	+	3.15	0.852	NA	AluSx|SINE|Alu	NA	NA								
chr6-1646	chr6	136865595	136865827	+	3.15	0.717	intron (NM_001198617, intron 1 of 15)	intron (NM_001198617, intron 1 of 15)	6246	NM_001198617	9053	Hs.486548	NM_003980	ENSG00000135525	MAP7	E-MAP-115|EMAP115	microtubule associated protein 7	protein-coding
chr4-1316	chr4	60087994	60088226	+	3.15	0.754	Intergenic	Intergenic	208819	NR_133942	105377247	Hs.298228	NR_133941	ENSG00000251266	LINC02429	-	long intergenic non-protein coding RNA 2429	ncRNA
chr6-1743	chr6	83451735	83451967	+	3.15	0.690	Intergenic	Intergenic	323709	NM_001350604	90025	Hs.148609	NM_198920	ENSG00000118420	UBE3D	C6orf157|H10BH|UBE2CBP|YJR141W	ubiquitin protein ligase E3D	protein-coding
