PeakID (cmd=annotatePeaks.pl GSE106949_XM001-PP_PDX1_CTTGTA_GEM_events_Filtered_Merged.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7:139508509	chr7	139508410	139508610	+	173	NA	intron (NM_001166254, intron 3 of 14)	L2c|LINE|L2	-20553	NM_030984	6916	Hs.520757	NM_001061	ENSG00000059377	TBXAS1	BDPLT14|CYP5|CYP5A1|GHOSAL|THAS|TS|TXAS|TXS	thromboxane A synthase 1	protein-coding
19:29421659	chr19	29421560	29421760	+	173	NA	Intergenic	Intergenic	-34378	NR_027318	148145	Hs.112651	NR_027318	ENSG00000267339	LINC00906	-	long intergenic non-protein coding RNA 906	ncRNA
20:58181608	chr20	58181509	58181709	+	173	NA	intron (NM_080672, intron 1 of 12)	intron (NM_080672, intron 1 of 12)	2014	NM_080672	116154	Hs.473218	NM_080672	ENSG00000087495	PHACTR3	C20orf101|H17739|PPP1R123|SCAPIN1|SCAPININ	phosphatase and actin regulator 3	protein-coding
4:71472413	chr4	71472314	71472514	+	173	NA	exon (NM_016519, exon 13 of 13)	exon (NM_016519, exon 13 of 13)	14441	NM_016519	258	Hs.272396	NM_016519	ENSG00000178522	AMBN	AI1F	ameloblastin	protein-coding
3:81519855	chr3	81519756	81519956	+	173	NA	Intergenic	Intergenic	290940	NM_000158	2632	Hs.436062	NM_000158	ENSG00000114480	GBE1	APBD|GBE|GSD4	1,4-alpha-glucan branching enzyme 1	protein-coding
11:78625747	chr11	78625648	78625848	+	173	NA	intron (NM_001098816, intron 6 of 33)	intron (NM_001098816, intron 6 of 33)	-339839	NM_001243251	79731	Hs.503389	NM_024678	ENSG00000137513	NARS2	DFNB94|SLM5|asnRS	asparaginyl-tRNA synthetase 2, mitochondrial	protein-coding
3:57164969	chr3	57164870	57165070	+	173	NA	intron (NM_001318864, intron 2 of 13)	intron (NM_001318864, intron 2 of 13)	34411	NM_017563	54756	Hs.150725	NM_017563	ENSG00000144730	IL17RD	HH18|IL-17RD|IL17RLM|SEF	interleukin 17 receptor D	protein-coding
4:43735132	chr4	43735033	43735233	+	173	NA	Intergenic	LTR22C|LTR|ERVK	-240573	NR_146993	105374436	Hs.170605	NR_146993	ENSG00000248143	LINC02383	-	long intergenic non-protein coding RNA 2383	ncRNA
17:5323154	chr17	5323055	5323255	+	173	NA	promoter-TSS (NM_002532)	promoter-TSS (NM_002532)	-96	NM_001320653	4927	Hs.584784	NM_002532	ENSG00000108559	NUP88	FADS4	nucleoporin 88	protein-coding
8:61573286	chr8	61573187	61573387	+	173	NA	Intergenic	Intergenic	-18012	NM_017780	55636	Hs.20395	NM_017780	ENSG00000171316	CHD7	CRG|HH5|IS3|KAL5	chromodomain helicase DNA binding protein 7	protein-coding
7:150780842	chr7	150780743	150780943	+	173	NA	promoter-TSS (NM_001136044)	promoter-TSS (NM_001136044)	-263	NM_001136044	83590	Hs.726215	NM_031434	ENSG00000164897	TMUB1	C7orf21|DULP|SB144	transmembrane and ubiquitin like domain containing 1	protein-coding
2:172778910	chr2	172778811	172779011	+	173	NA	promoter-TSS (NM_003642)	promoter-TSS (NM_003642)	-24	NR_027862	8520	Hs.632532	NM_003642	ENSG00000128708	HAT1	KAT1	histone acetyltransferase 1	protein-coding
1:212587576	chr1	212587477	212587677	+	173	NA	intron (NM_001198862, intron 1 of 8)	intron (NM_001198862, intron 1 of 8)	651	NM_018252	55248	Hs.445386	NM_018252	ENSG00000065600	PACC1	C1orf75|PAC|TMEM206	proton activated chloride channel 1	protein-coding
19:21786166	chr19	21786067	21786267	+	173	NA	Intergenic	HERV15-int|LTR|ERV1	-46303	NR_144514	400682	Hs.568075	NR_144514		LOC400682	-	zinc finger protein 100-like	pseudo
19:38385494	chr19	38385395	38385595	+	173	NA	exon (NM_031951, exon 4 of 6)	exon (NM_031951, exon 4 of 6)	11739	NM_001291088	83889	Hs.664194	NM_031951	ENSG00000171804	WDR87	NYD-SP11	WD repeat domain 87	protein-coding
10:65589522	chr10	65589423	65589623	+	173	NA	Intergenic	MSTB1|LTR|ERVL-MaLR	-307873	NM_001322258	221037	Hs.413416	NM_004241	ENSG00000171988	JMJD1C	KDM3C|TRIP-8|TRIP8	jumonji domain containing 1C	protein-coding
8:104080947	chr8	104080848	104081048	+	173	NA	exon (NM_001695, exon 13 of 13)	exon (NM_001695, exon 13 of 13)	47637	NM_001695	528	Hs.86905	NM_001695	ENSG00000155097	ATP6V1C1	ATP6C|ATP6D|VATC|Vma5	ATPase H+ transporting V1 subunit C1	protein-coding
16:19566679	chr16	19566580	19566780	+	173	NA	promoter-TSS (NR_158161)	promoter-TSS (NR_158161)	-345	NM_001365293	57020	Hs.654964	NM_020314	ENSG00000103544	VPS35L	C16orf62	VPS35 endosomal protein sorting factor like	protein-coding
1:57287243	chr1	57287144	57287344	+	173	NA	Intergenic	MIR3|SINE|MIR	-2167	NM_001004303	199920	Hs.437655	NM_001004303	ENSG00000187889	FYB2	ARAP|C1orf168	FYN binding protein 2	protein-coding
15:67102755	chr15	67102656	67102856	+	173	NA	Intergenic	Intergenic	108182	NM_005585	4091	Hs.153863	NM_005585	ENSG00000137834	SMAD6	AOVD2|HsT17432|MADH6|MADH7	SMAD family member 6	protein-coding
5:32490053	chr5	32489954	32490154	+	173	NA	Intergenic	Intergenic	-45208	NR_144318	51663	Hs.435231	NM_016107	ENSG00000056097	ZFR	SPG71|ZFR1	zinc finger RNA binding protein	protein-coding
5:73652047	chr5	73651948	73652148	+	173	NA	Intergenic	Intergenic	33737	NR_105010	101929082	Hs.434316	NR_105010	ENSG00000249343	LINC01333	-	long intergenic non-protein coding RNA 1333	ncRNA
2:208835108	chr2	208835009	208835209	+	173	NA	intron (NM_001080475, intron 3 of 7)	intron (NM_001080475, intron 3 of 7)	55142	NM_001080475	389072	Hs.159188	NM_001080475	ENSG00000178385	PLEKHM3	DAPR|PLEKHM1L	pleckstrin homology domain containing M3	protein-coding
11:8008689	chr11	8008590	8008790	+	173	NA	promoter-TSS (NM_003754)	promoter-TSS (NM_003754)	-194	NM_003754	8665	Hs.516023	NM_003754	ENSG00000175390	EIF3F	EIF3S5|MRT67|eIF3-p47	eukaryotic translation initiation factor 3 subunit F	protein-coding
11:17037527	chr11	17037428	17037628	+	173	NA	Intergenic	Intergenic	-1567	NM_001329630	144100	Hs.12332	NM_175058	ENSG00000166689	PLEKHA7	-	pleckstrin homology domain containing A7	protein-coding
1:40318291	chr1	40318192	40318392	+	173	NA	intron (NR_132410, intron 1 of 6)	intron (NR_132410, intron 1 of 6)	30884	NM_017646	54802	Hs.356554	NM_017646	ENSG00000043514	TRIT1	COXPD35|GRO1|IPPT|IPT|IPTase|MOD5|hGRO1	tRNA isopentenyltransferase 1	protein-coding
22:23521867	chr22	23521768	23521968	+	173	NA	promoter-TSS (NM_021574)	promoter-TSS (NM_021574)	-828	NM_021574	613	Hs.517461	NM_004327	ENSG00000186716	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	BCR activator of RhoGEF and GTPase	protein-coding
14:78376974	chr14	78376875	78377075	+	173	NA	intron (NR_158987, intron 7 of 9)	intron (NR_158987, intron 7 of 9)	110523	NM_001366487	57143	Hs.413208	NM_020421	ENSG00000063761	ADCK1	-	aarF domain containing kinase 1	protein-coding
3:36648349	chr3	36648250	36648450	+	173	NA	Intergenic	Intergenic	133002	NM_033403	85443	Hs.631907	NM_033403	ENSG00000163673	DCLK3	CLR|DCAMKL3|DCDC3C|DCK3	doublecortin like kinase 3	protein-coding
22:42476033	chr22	42475934	42476134	+	173	NA	promoter-TSS (NR_146717)	promoter-TSS (NR_146717)	81	NR_146717	91689	Hs.306083	NM_033318	ENSG00000183172	SMDT1	C22orf32|DDDD|EMRE	single-pass membrane protein with aspartate rich tail 1	protein-coding
14:80123074	chr14	80122975	80123175	+	173	NA	intron (NR_073547, intron 15 of 20)	intron (NR_073547, intron 15 of 20)	377352	NM_138970	9369	Hs.368307	NM_004796	ENSG00000021645	NRXN3	C14orf60	neurexin 3	protein-coding
11:45846979	chr11	45846880	45847080	+	173	NA	Intergenic	MER89|LTR|ERV1	20339	NM_018389	55343	Hs.12211	NM_018389	ENSG00000181830	SLC35C1	CDG2C|FUCT1	solute carrier family 35 member C1	protein-coding
10:16859668	chr10	16859569	16859769	+	173	NA	promoter-TSS (NM_012425)	promoter-TSS (NM_012425)	-216	NM_152724	6251	Hs.524161	NM_012425	ENSG00000148484	RSU1	RSP-1	Ras suppressor protein 1	protein-coding
19:18528324	chr19	18528225	18528425	+	173	NA	Intergenic	CpG	-1883	NM_032627	170463	Hs.515259	NM_032627	ENSG00000130511	SSBP4	-	single stranded DNA binding protein 4	protein-coding
2:114668231	chr2	114668132	114668332	+	173	NA	intron (NM_001277140, intron 1 of 11)	MER21B|LTR|ERVL	-19663	NR_110174	101060091	Hs.741753	NR_110174		ACTR3-AS1	-	ACTR3 antisense RNA 1	ncRNA
19:58428053	chr19	58427954	58428154	+	173	NA	promoter-TSS (NM_001297734)	promoter-TSS (NM_001297734)	-94	NM_001297734	147687	Hs.567710	NM_152475	ENSG00000173480	ZNF417	-	zinc finger protein 417	protein-coding
16:59390694	chr16	59390595	59390795	+	173	NA	Intergenic	MamRep1527|LTR|LTR	398400	NR_028471	644649	Hs.250392	NR_028471		APOOP5	-	apolipoprotein O pseudogene 5	pseudo
5:67845235	chr5	67845136	67845336	+	173	NA	Intergenic	Intergenic	256831	NM_001242466	5295	Hs.132225	NM_181504	ENSG00000145675	PIK3R1	AGM7|GRB1|IMD36|p85|p85-ALPHA	phosphoinositide-3-kinase regulatory subunit 1	protein-coding
8:94930016	chr8	94929917	94930117	+	173	NA	intron (NM_001161781, intron 1 of 1)	CpG	842	NM_001161779	54704	Hs.22265	NM_018444	ENSG00000164951	PDP1	PDH|PDP|PDPC|PPM2A|PPM2C	pyruvate dehyrogenase phosphatase catalytic subunit 1	protein-coding
20:22600731	chr20	22600632	22600832	+	173	NA	Intergenic	L3b|LINE|CR1	-12577	NR_109883	101929685	Hs.563018	NR_109883	ENSG00000237396	LNCNEF	LINC01384|lncRNA-NEF	lncRNA neighboring enhancer of FOXA2	ncRNA
6:43610746	chr6	43610647	43610847	+	173	NA	Intergenic	LTR2|LTR|ERV1	-2020	NM_001193341	221421	Hs.534585	NM_152732	ENSG00000172426	RSPH9	C6orf206|CILD12|MRPS18AL1	radial spoke head 9 homolog	protein-coding
17:991167	chr17	991068	991268	+	173	NA	intron (NM_001092, intron 3 of 21)	intron (NM_001092, intron 3 of 21)	-8935	NM_001282149	29	Hs.159306	NM_001092	ENSG00000159842	ABR	MDB	ABR activator of RhoGEF and GTPase	protein-coding
1:146640387	chr1	146640288	146640488	+	173	NA	intron (NM_005399, intron 2 of 7)	intron (NM_005399, intron 2 of 7)	3661	NM_005399	5565	Hs.50732	NM_005399	ENSG00000131791	PRKAB2	-	protein kinase AMP-activated non-catalytic subunit beta 2	protein-coding
12:107542082	chr12	107541983	107542183	+	173	NA	Intergenic	L2|LINE|L2	-54756	NM_004075	1407	Hs.151573	NM_004075	ENSG00000008405	CRY1	DSPD|PHLL1	cryptochrome circadian regulator 1	protein-coding
3:88108278	chr3	88108179	88108379	+	173	NA	promoter-TSS (NM_001350134)	promoter-TSS (NM_001350134)	-124	NM_001008390	8545	Hs.444818	NM_003663	ENSG00000163320	CGGBP1	CGGBP|p20-CGGBP	CGG triplet repeat binding protein 1	protein-coding
4:17078904	chr4	17078805	17079005	+	173	NA	Intergenic	LTR16A|LTR|ERVL	108775	NR_125919	101929123	Hs.638913	NR_125919	ENSG00000250819	LINC02493	-	long intergenic non-protein coding RNA 2493	ncRNA
8:119065253	chr8	119065154	119065354	+	173	NA	intron (NM_000127, intron 1 of 10)	intron (NM_000127, intron 1 of 10)	58804	NM_000127	2131	Hs.492618	NM_000127	ENSG00000182197	EXT1	EXT|LGCR|LGS|TRPS2|TTV	exostosin glycosyltransferase 1	protein-coding
8:110016357	chr8	110016258	110016458	+	173	NA	Intergenic	Intergenic	-82499	NM_003301	7201	Hs.3022	NM_003301	ENSG00000174417	TRHR	TRH-R	thyrotropin releasing hormone receptor	protein-coding
1:52082755	chr1	52082656	52082856	+	173	NA	promoter-TSS (NM_148906)	promoter-TSS (NM_148906)	-8	NM_148909	114883	Hs.21938	NM_024586	ENSG00000117859	OSBPL9	ORP-9|ORP9	oxysterol binding protein like 9	protein-coding
6:168897011	chr6	168896912	168897112	+	173	NA	intron (NM_001166412, intron 1 of 12)	MER3|DNA|hAT-Charlie	55148	NM_022138	64094	Hs.487200	NM_022138	ENSG00000112562	SMOC2	DTDP1|MST117|MSTP117|MSTP140|SMAP2|bA270C4A.1|bA37D8.1|dJ421D16.1	SPARC related modular calcium binding 2	protein-coding
16:20815100	chr16	20815001	20815201	+	173	NA	intron (NM_080663, intron 1 of 10)	intron (NM_080663, intron 1 of 10)	2693	NM_080663	112479	Hs.248437	NM_080663	ENSG00000196678	ERI2	EXOD1|ZGRF5	ERI1 exoribonuclease family member 2	protein-coding
1:229389208	chr1	229389109	229389309	+	173	NA	Intergenic	Intergenic	-17600	NR_073545	5867	Hs.296169	NM_004578	ENSG00000168118	RAB4A	HRES-1|HRES-1/RAB4|HRES1|RAB4	RAB4A, member RAS oncogene family	protein-coding
10:79047540,10:79047715	chr10	79047441	79047816	+	173	NA	intron (NM_001271518, intron 1 of 27)	intron (NM_001271518, intron 1 of 27)	62891	NM_001322838	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
2:210933602	chr2	210933503	210933703	+	173	NA	intron (NM_152519, intron 6 of 14)	MLT1C-int|LTR|ERVL-MaLR	38957	NR_110291	101928020	Hs.635556	NR_110291		LOC101928020	-	uncharacterized LOC101928020	ncRNA
6:53458218	chr6	53458119	53458319	+	173	NA	Intergenic	Intergenic	-20146	NR_110840	101927136	Hs.509788	NR_110840	ENSG00000231683	LOC101927136	-	uncharacterized LOC101927136	ncRNA
1:94169421	chr1	94169322	94169522	+	173	NA	intron (NM_001261408, intron 3 of 13)	L2a|LINE|L2	-22029	NM_003567	8412	Hs.36958	NM_003567	ENSG00000137936	BCAR3	AND-34|NSP2|SH2D3B	BCAR3 adaptor protein, NSP family member	protein-coding
2:237920903	chr2	237920804	237921004	+	173	NA	Intergenic	Intergenic	43906	NR_135202	93463	Hs.652810	NR_135202	ENSG00000124835	LOC93463	-	uncharacterized LOC93463	ncRNA
7:9244409	chr7	9244310	9244510	+	173	NA	Intergenic	Intergenic	-429490	NR_002790	168741	Hs.545134	NR_002790		PER4	-	period circadian regulator 3 pseudogene	pseudo
1:39281914	chr1	39281815	39282015	+	173	NA	Intergenic	Intergenic	43529	NM_022157	64121	Hs.532461	NM_022157	ENSG00000116954	RRAGC	GTR2|RAGC|TIB929	Ras related GTP binding C	protein-coding
2:73211133	chr2	73211034	73211234	+	173	NA	intron (NM_001330411, intron 11 of 14)	intron (NM_001330411, intron 11 of 14)	66486	NM_004097	2016	Hs.516090	NM_004097	ENSG00000135638	EMX1	-	empty spiracles homeobox 1	protein-coding
3:133225381	chr3	133225282	133225482	+	173	NA	Intergenic	Intergenic	-15392	NR_135277	85003	Hs.659202	NR_135276	ENSG00000249993	BFSP2-AS1	-	BFSP2 antisense RNA 1	ncRNA
1:220660846	chr1	220660747	220660947	+	173	NA	Intergenic	Intergenic	-40631	NM_001286129	4139	Hs.497806	NM_018650	ENSG00000116141	MARK1	MARK|Par-1c|Par1c	microtubule affinity regulating kinase 1	protein-coding
3:9885567	chr3	9885468	9885668	+	173	NA	5' UTR (NM_001351736, exon 1 of 8)	5' UTR (NM_001351736, exon 1 of 8)	124	NM_001351736	285367	Hs.33719	NM_173659	ENSG00000156990	RPUSD3	-	RNA pseudouridine synthase D3	protein-coding
2:237071665	chr2	237071566	237071766	+	173	NA	Intergenic	Intergenic	5363	NM_001485	2637	Hs.184945	NM_001485	ENSG00000168505	GBX2	-	gastrulation brain homeobox 2	protein-coding
20:49999676	chr20	49999577	49999777	+	173	NA	Intergenic	Intergenic	69837	NR_036162	100422889		NR_036162	ENSG00000266761	MIR3194	mir-3194	microRNA 3194	ncRNA
21:32145078	chr21	32144979	32145179	+	173	NA	Intergenic	Intergenic	-17333	NM_181619	337977	Hs.567837	NM_181619	ENSG00000187005	KRTAP21-1	KAP21.1	keratin associated protein 21-1	protein-coding
2:216948867	chr2	216948768	216948968	+	173	NA	intron (NM_001142310, intron 2 of 3)	intron (NM_001142310, intron 2 of 3)	2226	NM_001142312	92691	Hs.334916	NM_138390	ENSG00000163449	TMEM169	-	transmembrane protein 169	protein-coding
11:111462521	chr11	111462422	111462622	+	173	NA	Intergenic	L2c|LINE|L2	-10651	NM_015191	23235	Hs.269128	NM_015191	ENSG00000170145	SIK2	LOH11CR1I|QIK|SIK-2|SNF1LK2	salt inducible kinase 2	protein-coding
13:95022155	chr13	95022056	95022256	+	173	NA	intron (NM_005708, intron 6 of 8)	intron (NM_005708, intron 6 of 8)	109780	NM_001129889	1638	Hs.301865	NM_001922	ENSG00000080166	DCT	TRP-2|TYRP2	dopachrome tautomerase	protein-coding
1:166674839	chr1	166674740	166674940	+	173	NA	Intergenic	LTR16E1|LTR|ERVL	101687	NR_002925	116123	Hs.348539	NM_138784	ENSG00000215834	FMO9P	-	flavin containing dimethylaniline monoxygenase 9, pseudogene	pseudo
5:117357583	chr5	117357484	117357684	+	173	NA	intron (NR_104997, intron 2 of 2)	intron (NR_104997, intron 2 of 2)	-260685	NR_104609	100505811	Hs.369776	NR_104609	ENSG00000250427	LINC02148	HNCAT21	long intergenic non-protein coding RNA 2148	ncRNA
15:40898899	chr15	40898800	40899000	+	173	NA	intron (NM_170589, intron 4 of 26)	AluJb|SINE|Alu	12453	NM_170589	57082	Hs.181855	NM_144508	ENSG00000137812	KNL1	AF15Q14|CASC5|CT29|D40|MCPH4|PPP1R55|Spc7|hKNL-1|hSpc105	kinetochore scaffold 1	protein-coding
10:126487972	chr10	126487873	126488073	+	173	NA	Intergenic	LTR16A|LTR|ERVL	-2415	NM_032182	23172	Hs.280695	NM_032182	ENSG00000165660	ABRAXAS2	ABRO1|FAM175B|KIAA0157	abraxas 2, BRISC complex subunit	protein-coding
4:46846554	chr4	46846455	46846655	+	173	NA	intron (NM_130902, intron 2 of 2)	intron (NM_130902, intron 2 of 2)	64707	NM_130902	170712	Hs.479656	NM_130902	ENSG00000170516	COX7B2	-	cytochrome c oxidase subunit 7B2	protein-coding
13:21901400	chr13	21901301	21901501	+	173	NA	intron (NR_103840, intron 2 of 5)	L2b|LINE|L2	8226	NR_144554	2871	Hs.719428	NR_144554		GRK6P1	GPRK6L|GPRK6P|GRK6PS	G protein-coupled receptor kinase 6 pseudogene 1	pseudo
15:66074826	chr15	66074727	66074927	+	173	NA	intron (NM_001320835, intron 1 of 32)	MIR|SINE|MIR	9804	NM_001320835	10260	Hs.654567	NM_005848	ENSG00000174485	DENND4A	IRLB|MYCPBP	DENN domain containing 4A	protein-coding
20:22555859	chr20	22555760	22555960	+	173	NA	intron (NR_001558, intron 1 of 3)	intron (NR_001558, intron 1 of 3)	3420	NR_001558	140828	Hs.9842	NR_001558	ENSG00000259974	LINC00261	ALIEN|C20orf56|DEANR1|FALCOR|HCCDR1|NCRNA00261|TCONS_00027846|onco-lncRNA-17	long intergenic non-protein coding RNA 261	ncRNA
8:37403210	chr8	37403111	37403311	+	173	NA	Intergenic	Intergenic	-24307	NR_121621	100507420	Hs.105962	NR_121620		LINC01605	LincDUSP	long intergenic non-protein coding RNA 1605	ncRNA
1:232791201	chr1	232791102	232791302	+	173	NA	Intergenic	Intergenic	-62615	NR_146922	105373199	Hs.254475	NR_146922	ENSG00000225919	LINC01745	-	long intergenic non-protein coding RNA 1745	ncRNA
10:74820932	chr10	74820833	74821033	+	173	NA	intron (NM_001017962, intron 5 of 14)	intron (NM_001017962, intron 5 of 14)	35799	NM_001142596	5033	Hs.500047	NM_000917	ENSG00000122884	P4HA1	P4HA	prolyl 4-hydroxylase subunit alpha 1	protein-coding
8:142026377,8:142026442	chr8	142026278	142026543	+	173	NA	Intergenic	Intergenic	-14232	NM_001352699	5747	Hs.395482	NM_005607	ENSG00000169398	PTK2	FADK|FAK|FAK1|FRNK|PPP1R71|p125FAK|pp125FAK	protein tyrosine kinase 2	protein-coding
18:75475873	chr18	75475774	75475974	+	173	NA	Intergenic	Intergenic	229809	NR_104127	101927715	Hs.385670	NR_104127		LINC01029	-	long intergenic non-protein coding RNA 1029	ncRNA
7:73156138	chr7	73156039	73156239	+	173	NA	Intergenic	Intergenic	-2942	NM_001301058	83451	Hs.647045	NM_148912	ENSG00000106077	ABHD11	PP1226|WBSCR21	abhydrolase domain containing 11	protein-coding
16:11058112	chr16	11058013	11058213	+	173	NA	intron (NM_001243403, intron 3 of 20)	intron (NM_001243403, intron 3 of 20)	19692	NM_015226	23274	Hs.35490	NM_015226	ENSG00000038532	CLEC16A	Gop-1|KIAA0350	C-type lectin domain containing 16A	protein-coding
3:62415493	chr3	62415394	62415594	+	173	NA	intron (NM_183393, intron 25 of 26)	intron (NM_183393, intron 25 of 26)	-56269	NM_018008	55079	Hs.241523	NM_018008	ENSG00000153266	FEZF2	FEZ|FEZL|FKSG36|TOF|ZFP312|ZNF312	FEZ family zinc finger 2	protein-coding
7:26438305	chr7	26438206	26438406	+	173	NA	non-coding (NR_148499, exon 1 of 7)	non-coding (NR_148499, exon 1 of 7)	117	NR_148503	441204	Hs.587432	NR_015364	ENSG00000214870	LOC441204	-	uncharacterized LOC441204	ncRNA
20:46941385	chr20	46941286	46941486	+	173	NA	Intergenic	Intergenic	-47268	NR_026958	284749	Hs.299080	NR_026958	ENSG00000235621	LINC00494	-	long intergenic non-protein coding RNA 494	ncRNA
19:58912777	chr19	58912678	58912878	+	173	NA	TTS (NR_149054)	TTS (NR_149054)	1208	NR_149054	110806301		NR_149054	ENSG00000268307	LINC02560	-	long intergenic non-protein coding RNA 2560	ncRNA
11:119015814	chr11	119015715	119015915	+	173	NA	Intergenic	Intergenic	-3947	NM_022169	64137	Hs.126378	NM_022169	ENSG00000172350	ABCG4	WHITE2	ATP binding cassette subfamily G member 4	protein-coding
17:64940755	chr17	64940656	64940856	+	173	NA	Intergenic	L2c|LINE|L2	-20067	NM_014405	27092	Hs.514423	NM_014405	ENSG00000075461	CACNG4	-	calcium voltage-gated channel auxiliary subunit gamma 4	protein-coding
16:5562155	chr16	5562056	5562256	+	173	NA	Intergenic	Intergenic	104095	NR_110902	101926950	Hs.613285	NR_110902	ENSG00000260338	LINC01570	-	long intergenic non-protein coding RNA 1570	ncRNA
7:97501867	chr7	97501768	97501968	+	173	NA	promoter-TSS (NM_001673)	promoter-TSS (NM_001673)	-14	NM_183356	440	Hs.489207	NM_001673	ENSG00000070669	ASNS	ASNSD|TS11	asparagine synthetase (glutamine-hydrolyzing)	protein-coding
4:105412233	chr4	105412134	105412334	+	173	NA	exon (NM_025212, exon 2 of 3)	exon (NM_025212, exon 2 of 3)	112	NR_125926	101929468	Hs.480435	NR_125926	ENSG00000245384	CXXC4-AS1	-	CXXC4 antisense RNA 1	ncRNA
15:60685281	chr15	60685182	60685382	+	173	NA	intron (NM_001136015, intron 1 of 13)	intron (NM_001136015, intron 1 of 13)	4903	NM_001002857	302	Hs.511605	NM_004039	ENSG00000182718	ANXA2	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	annexin A2	protein-coding
14:39081602	chr14	39081503	39081703	+	173	NA	Intergenic	L1MEc|LINE|L1	-270196	NR_135256	105370457	Hs.128254	NR_135256		LOC105370457	-	uncharacterized LOC105370457	ncRNA
14:33720385	chr14	33720286	33720486	+	173	NA	intron (NM_173159, intron 3 of 11)	intron (NM_173159, intron 3 of 11)	312301	NM_022123	64067	Hs.657892	NM_022123	ENSG00000151322	NPAS3	MOP6|PASD6|bHLHe12	neuronal PAS domain protein 3	protein-coding
1:11742663	chr1	11742564	11742764	+	173	NA	intron (NM_001127325, intron 1 of 8)	MER5A|DNA|hAT-Charlie	-1459	NM_006341	10459	Hs.19400	NM_006341	ENSG00000116670	MAD2L2	FANCV|MAD2B|POLZ2|REV7	mitotic arrest deficient 2 like 2	protein-coding
10:25059089	chr10	25058990	25059190	+	173	NA	Intergenic	Intergenic	-46274	NM_020824	57584	Hs.524195	NM_020824	ENSG00000107863	ARHGAP21	ARHGAP10	Rho GTPase activating protein 21	protein-coding
8:11576770	chr8	11576671	11576871	+	173	NA	intron (NM_002052, intron 2 of 6)	intron (NM_002052, intron 2 of 6)	11406	NM_001308093	2626	Hs.243987	NM_002052	ENSG00000136574	GATA4	ASD2|TACHD|TOF|VSD1	GATA binding protein 4	protein-coding
5:96379275	chr5	96379176	96379376	+	173	NA	Intergenic	Intergenic	85139	NM_175920	4012	Hs.527199	NM_005575	ENSG00000113441	LNPEP	CAP|IRAP|P-LAP|PLAP	leucyl and cystinyl aminopeptidase	protein-coding
4:109811941	chr4	109811842	109812042	+	173	NA	intron (NM_198721, intron 15 of 36)	intron (NM_198721, intron 15 of 36)	-127733	NM_001331033	64850	Hs.106576	NM_031279	ENSG00000164089	ETNPPL	AGXT2L1	ethanolamine-phosphate phospho-lyase	protein-coding
18:20132462	chr18	20132363	20132563	+	173	NA	Intergenic	Intergenic	-134585	NM_172241	64693	Hs.406709	NM_022663	ENSG00000212710	CTAGE1	CT21.1|CT21.2|CTAGE|CTAGE-1|CTAGE-2	cutaneous T cell lymphoma-associated antigen 1	protein-coding
11:11237152	chr11	11237053	11237253	+	173	NA	Intergenic	L2b|LINE|L2	137644	NM_001256686	283106	Hs.654675	NM_001256686	ENSG00000254598	CSNK2A3	CSNK2A1P	casein kinase 2 alpha 3	protein-coding
6:125323034	chr6	125322935	125323135	+	173	NA	intron (NR_104440, intron 2 of 6)	intron (NR_104440, intron 2 of 6)	18521	NM_152553	154214	Hs.12876	NM_152553	ENSG00000146373	RNF217	C6orf172|IBRDC1|OSTL|dJ84N20.1	ring finger protein 217	protein-coding
6:105652479	chr6	105652380	105652580	+	173	NA	Intergenic	Intergenic	-24591	NM_022361	64208	Hs.458336	NM_022361	ENSG00000132429	POPDC3	POP3|bA355M14.1	popeye domain containing 3	protein-coding
5:67711180	chr5	67711081	67711281	+	173	NA	Intergenic	Intergenic	122776	NM_001242466	5295	Hs.132225	NM_181504	ENSG00000145675	PIK3R1	AGM7|GRB1|IMD36|p85|p85-ALPHA	phosphoinositide-3-kinase regulatory subunit 1	protein-coding
21:18743265	chr21	18743166	18743366	+	173	NA	Intergenic	MER34A|LTR|ERV1	-67942	NR_037585	100505929	Hs.46707	NM_001005521	ENSG00000232560	LINC01549	C21orf37	long intergenic non-protein coding RNA 1549	ncRNA
18:8800780	chr18	8800681	8800881	+	173	NA	intron (NM_015210, intron 10 of 16)	intron (NM_015210, intron 10 of 16)	83402	NM_015210	23255	Hs.707920	NM_015210	ENSG00000168502	MTCL1	CCDC165|KIAA0802|SOGA2	microtubule crosslinking factor 1	protein-coding
11:19848265	chr11	19848166	19848366	+	173	NA	intron (NM_001244963, intron 1 of 39)	intron (NM_001244963, intron 1 of 39)	-66637	NR_039843	100616426		NR_039843	ENSG00000264309	MIR4694	-	microRNA 4694	ncRNA
